6530844
/m/0g93pf
/m/0g93pf
Gregory Benford
1977
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1 1
15 1
201 1
2018 1
2038 1
50 1
a 22
about 3
accidentally 1
active 1
actually 1
afford 1
after 2
airlines 1
alexandria 2
alien 1
aliens 1
alive 1
allowing 1
already 1
also 1
america 1
american 1
an 4
and 28
anomaly 2
another 1
antispacecraft 1
any 1
anyway 1
are 2
armed 2
around 2
arranges 1
artifact 1
artifacts 2
artificial 1
as 3
asks 1
assigned 1
asteroid 3
astronaut 2
at 2
atmosphere 1
attach 1
attack 1
autonomous 1
awestruck 1
back 1
badly 1
based 1
be 5
become 1
becomes 1
before 2
beginning 1
begins 2
being 1
binary 1
blackmails 1
blossom 1
body 1
bomb 2
brazilians 1
brilliantly 1
british 1
broadcasts 1
built 1
but 1
by 5
can 2
cannot 1
cause 1
caused 1
changed 1
chemical 1
civilizations 1
claims 1
collision 1
comet 2
commandeers 1
commit 1
communications 1
compete 1
composite 1
compromise 1
computer 4
conducted 1
control 1
convinces 1
core 1
could 1
course 3
covered 1
craft 1
crash 1
creators 1
damage 1
dangerous 1
day 1
dead 1
decision 1
delayed 1
demolition 1
detonated 1
detonation 2
developed 1
different 1
direct 2
directed 1
directing 1
disabled 1
disables 1
discovered 2
discovers 2
discovery 1
disease 1
distanced 1
distracted 1
distracts 1
during 1
earth 4
edition 1
effective 1
elaborate 1
emissions 1
engines 1
erythematosus 1
essences 1
even 2
eventually 1
everything 1
evidence 1
evolving 1
experienced 1
experiment 1
experiments 1
explore 1
exploring 3
extraterrestrial 1
far 1
faster 1
fed 1
fellow 1
finally 1
find 1
finds 1
fire 2
fires 1
fissure 2
flash 1
flees 1
follow 1
for 5
forward 1
four 1
from 2
fully 1
functioning 1
fundamentally 1
fusion 1
genetics 1
go 2
going 1
great 1
had 1
has 3
have 2
he 5
her 1
hide 1
hijack 1
him 6
his 3
historic 1
hit 1
hollow 1
hookup 1
however 1
human 1
icarus 8
ice 1
if 2
ignore 1
implants 1
in 12
india 1
indian 1
inert 1
inevitably 1
information 1
informed 1
inherently 1
initial 1
instructed 1
intelligent 1
intentions 1
interface 1
into 3
involved 1
is 18
it 15
its 3
itself 1
jpl 1
jupiter 2
kept 1
kill 1
knowing 1
land 1
large 2
largely 1
later 2
learn 1
leave 2
less 2
let 2
letting 1
lie 1
life 1
little 1
live 2
locates 1
long 1
lovers 1
lupus 1
machines 1
made 2
makes 1
making 1
mare 2
marginis 2
markedly 1
mass 1
materials 1
meanwhile 1
mechanics 1
medical 1
meeting 1
meets 1
megaton 1
metal 1
missile 1
mission 1
moon 4
more 4
moved 1
named 1
nasa 4
neural 2
next 1
nickeliron 1
nicknamed 1
nigel 22
nikka 2
nonhostile 1
north 1
not 2
novel 1
now 1
nuclear 3
nuke 1
number 1
numbers 1
obvious 1
obviously 1
ocean 1
of 16
off 2
oftfatal 1
on 7
oncepowerful 1
one 1
ones 1
oneway 1
only 1
or 2
orbit 1
order 1
orders 1
organic 1
organics 1
other 1
others 1
out 3
over 1
override 1
own 1
parties 2
partner 3
patterns 1
people 1
persuades 1
pilot 1
plant 1
pollution 1
predicted 1
presumably 1
prime 1
probe 1
projects 1
proves 1
public 1
put 1
radio 2
reaches 1
reason 1
receives 1
refuses 1
relating 1
repeating 1
resultant 1
retrieving 1
reveal 1
reveals 1
rocky 1
rubble 1
satellites 2
says 1
scientist 1
second 1
secret 1
selling 1
sent 1
sequence 1
set 2
several 1
shells 1
ship 1
sign 1
signal 2
silence 1
skip 1
slush 1
snark 12
so 3
solar 1
solid 1
some 2
somehow 1
something 1
sooner 1
space 1
spacecraft 2
species 1
spend 2
state 1
still 1
strips 1
style 1
suicide 1
superiors 1
surprising 1
suspiciously 1
system 1
systemic 1
talking 1
team 1
tentative 1
than 2
that 7
the 58
their 1
them 1
thermonuclear 1
they 7
this 4
those 1
through 2
thus 1
time 1
to 25
torrent 1
trajectory 1
transmission 1
transmissions 1
transmits 1
transmitting 1
truly 1
trust 1
tsunami 1
turn 1
turns 1
unable 1
under 1
universe 1
unknown 1
unstable 1
until 1
up 3
use 1
venus 1
version 1
vessel 1
visit 2
walmsley 1
wanted 1
weapon 4
weapons 1
week 1
what 1
which 3
who 1
will 3
with 5
worked 2
would 3
wreck 2
years 2
yielded 1
