6111753
/m/0fqnr9
/m/0fqnr9
Rick Riordan
2005-06-28
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
600 1
a 17
above 1
academy 2
accepts 1
adhd 1
adjoining 1
after 3
alive 1
allows 1
an 2
and 22
angered 1
annabeth 2
another 1
any 1
appeared 1
appears 1
approach 1
are 1
ares 4
arrives 1
arrows 1
art 1
as 3
asks 1
at 2
attacked 2
attacks 2
attend 1
away 1
backpack 1
be 3
because 1
become 3
been 3
before 2
behind 1
being 1
believes 3
best 1
bolt 7
both 2
boy 1
broken 1
building 1
but 1
by 7
cabin 3
camp 4
can 2
capture 1
care 1
carrying 1
castellan 1
children 2
chimera 1
chiron 2
city 2
claimed 1
classmate 1
clear 1
closest 1
comes 1
confronts 1
counselor 1
cures 1
danger 1
darkness 1
days 1
defeats 2
demigods 1
diagnosed 1
dies 1
discovers 1
dissolves 1
dodds 1
drag 1
drives 1
during 2
dyslexia 1
echidna 1
edge 1
embarks 1
empire 1
encounter 1
entering 1
entrance 1
everything 1
expelled 1
father 2
field 1
fights 1
find 3
first 1
flag 1
flees 1
flies 1
flying 1
for 4
forced 1
former 1
found 1
free 1
friend 2
from 5
furies 3
gabe 2
game 2
gave 1
get 1
gets 2
give 1
gives 1
god 2
goes 1
going 1
golden 1
grabs 1
granted 1
great 1
greek 1
grover 5
had 1
hades 5
halfblood 1
has 8
have 1
having 1
he 7
head 1
heal 1
healed 1
hellhound 1
helm 2
her 2
hermes 1
him 4
himself 1
his 11
hollywood 1
horn 1
in 6
including 1
injures 1
into 5
is 12
island 1
it 2
jackson 1
journey 1
killing 1
kills 1
kronos 1
latest 1
leave 1
leaves 1
leaving 1
level 1
life 1
light 1
live 1
located 1
long 1
luke 3
lukes 1
magic 1
man 1
manages 1
master 4
medusa 1
metropolitan 1
middle 1
minotaur 4
mistreats 1
mom 1
monsters 1
more 1
mortal 1
mother 5
moved 1
mrs 1
museum 1
name 1
nearly 1
new 3
night 1
now 1
numerous 1
oath 1
object 1
obtaining 1
of 13
old 1
olympus 1
on 4
one 2
over 1
own 1
palace 1
pan 1
percy 29
pit 1
poisonous 1
poseidon 3
powerful 1
prealgebra 1
protected 1
quest 2
reach 1
realm 1
refrain 1
repulsive 1
return 1
returns 2
revealed 2
revealing 2
reveals 1
risking 1
river 1
sally 3
satyr 1
school 2
schools 1
scorpion 1
seeker 1
semiconscious 1
shadow 1
she 2
shoes 2
shot 1
shower 1
six 1
sky 1
slip 1
smell 1
so 1
solstice 1
son 1
state 1
stepfather 1
steps 2
stings 1
stole 2
stolen 3
stumbles 1
summer 1
summons 1
taken 1
takes 1
tartarus 1
teacher 1
tells 1
ten 1
that 9
the 44
their 1
them 3
then 4
there 1
they 3
threat 1
three 1
threeday 1
throat 1
to 30
too 1
train 1
travel 1
trident 1
trip 2
try 2
twelve 1
two 1
ugliano 1
under 1
underwood 1
underworld 2
up 1
upon 1
using 1
vacation 1
waking 1
war 1
warns 1
was 1
water 1
waters 1
way 1
west 1
where 2
which 5
while 1
who 5
whose 1
with 5
witnessed 1
women 1
won 1
yancy 2
year 1
york 3
zeus 7
