4513902
/m/0c6h7x
/m/0c6h7x
Judy Blundell

a 6
again 1
anakin 1
and 3
apparent 1
arbor 3
are 2
arrest 1
as 1
away 2
becomes 1
but 1
by 1
called 1
cannot 1
capture 1
civil 1
complicated 1
dictator 1
erupts 1
evil 1
ferus 1
finally 1
free 1
further 1
gang 1
get 1
has 1
heist 1
her 4
heroes 1
hiding 1
hope 1
in 2
infiltrate 1
into 2
is 1
it 2
jedi 3
jenna 1
laws 1
leave 1
leaving 1
matters 1
middle 1
must 1
obiwan 1
of 6
offering 1
on 2
or 1
order 1
other 1
our 1
own 1
part 1
planet 4
plans 1
pose 1
protection 1
romin 2
scientist 1
she 2
siri 1
slams 1
slip 1
soon 1
take 1
thanks 1
that 2
the 12
they 1
thieves 1
thrown 1
tip 1
to 3
trick 1
tyrannical 1
under 1
war 1
when 2
will 3
yet 1
zan 1
