1491349
/m/055jqh
/m/055jqh
Georgette Heyer
1932
{"/m/01qxvh": "Romance novel"}
a 4
abducting 1
afterwards 1
alastair 9
allowing 1
also 1
an 3
and 10
any 1
are 1
army 1
as 4
assuming 1
avon 8
away 2
back 1
be 1
because 1
believes 1
better 1
bourgeoisie 1
bring 1
but 3
by 2
challoner 1
chance 2
classwikitable 1
clearly 1
come 1
coming 1
compromised 1
confidence 1
could 1
country 1
court 1
crony 1
cub 3
davenant 2
de 2
deceased 1
devil 2
devils 1
discovered 1
do 1
does 1
dry 1
duchess 2
duel 1
duke 4
edward 2
either 1
excellent 1
excesses 1
fallen 1
fanny 2
father 2
field 2
finds 1
for 4
forces 1
fortune 1
france 2
from 1
fury 1
girl 2
go 1
grandfather 1
grip 1
guilt 1
habits 1
harriet 2
has 5
he 8
her 12
heyer 1
him 7
his 4
however 1
hugh 2
impromptu 1
in 6
infamous 1
instead 1
intending 1
intends 1
intention 1
into 1
intolerable 1
investigate 1
is 9
it 1
john 1
justin 2
known 1
lady 2
late 1
leave 1
leaving 1
let 1
lonie 2
lord 2
love 1
loves 1
making 1
marling 5
marquis 3
marriage 1
marry 1
mary 4
measure 1
meets 1
misery 1
mistake 1
mistress 1
mr 3
no 2
not 2
now 1
obliged 1
observation 1
obtained 1
of 16
off 1
offer 2
old 2
once 1
only 2
outcome 1
own 2
participates 1
paying 1
personality 1
persuading 1
place 1
pursues 1
rather 1
reach 1
realise 1
realising 1
realizes 1
refuses 1
respect 1
respectable 1
ruined 1
rumours 1
runs 1
rupert 2
saintvire 2
scandal 1
scotch 1
seek 1
sequel 1
shades 1
she 8
sister 2
son 3
sophia 3
spite 1
straitlaced 1
surrounding 1
take 1
takes 3
talking 1
that 4
the 16
these 1
they 1
this 1
to 14
too 1
turn 1
two 1
ultimately 1
understanding 1
vidal 4
when 1
which 1
while 1
who 1
wild 1
will 1
with 5
without 1
yet 1
