22485719
/m/05zp3wx
/m/05zp3wx
William Trevor
1991-01-01
a 6
alcoholism 1
also 1
an 2
and 3
around 1
attack 1
attic 1
been 1
brief 1
cousin 1
dallon 1
deals 1
departs 1
detail 1
draper 1
due 1
elmer 1
entitled 1
eventually 1
existence 1
falls 1
farm 1
fellow 1
film 1
finest 1
firstperson 1
from 2
girl 1
goes 1
great 1
growing 1
has 1
her 7
his 1
house 2
husband 1
in 8
including 2
introduces 1
invalid 1
ireland 1
italian 1
ivan 1
life 2
louise 1
love 1
mad 1
madam 1
made 1
madefortelevision 1
marriage 1
marries 1
mary 1
my 2
named 1
narrator 1
novella 1
novels 1
now 1
of 7
older 1
on 1
original 1
part 1
passenger 1
period 1
plot 1
possessions 1
possible 1
preserving 1
prostitute 1
quarry 1
reading 1
recollects 1
recreating 1
remains 1
retired 1
retirement 1
robert 2
romantic 1
room 1
russian 1
she 3
sheltered 1
somber 1
southeastern 1
structures 1
substantially 1
survivors 1
terrorist 1
the 9
three 1
to 4
train 1
turgenev 2
umbria 2
umbrian 1
unconsummated 1
villa 1
when 1
which 1
who 2
with 2
works 1
writer 1
writers 1
