27114568
/m/0bs2dl6
/m/0bs2dl6


{"/m/01qxvh": "Romance novel"}
a 6
after 1
all 2
allowed 1
american 2
and 5
anxieties 1
are 1
as 5
because 1
begins 1
buckingham 3
carolina 2
col 1
contests 1
crosses 1
cruel 1
degrading 1
descendant 1
despite 1
discussions 1
dr 1
duke 1
embark 1
ends 1
england 1
eugene 3
even 1
eventually 2
evolves 1
father 2
fathers 1
fictional 1
follows 1
for 1
friendship 1
from 1
grounds 1
has 2
he 3
honeymoon 1
into 1
is 1
journalist 1
julia 4
likewise 1
love 1
make 1
marry 1
mutual 1
new 1
newlyweds 1
not 1
novel 1
number 1
objects 1
of 6
on 2
only 1
opposing 1
pamphlets 2
partnership 1
paths 1
philosophical 1
planter 1
planters 2
pseudonyms 1
regarding 1
sadists 1
scotsman 1
scottish 1
several 1
ship 1
slavery 1
son 1
south 2
story 1
supports 1
tennyson 2
tennysons 1
that 1
the 11
their 2
though 1
to 3
under 1
various 1
vicious 1
view 1
violent 1
way 1
what 1
who 1
with 1
written 2
york 1
