5375672
/m/0dj0xy
/m/0dj0xy
Ian Rankin
2004
a 7
an 1
and 4
are 1
as 1
asylum 1
based 2
between 1
book 1
brutally 1
but 1
by 1
camp 1
cases 1
clarke 1
close 1
concrete 1
consider 1
dead 1
desk 1
detective 1
divided 1
dominated 1
dungavel 1
economy 1
edinburgh 1
embedded 1
estate 1
fleshmarket 1
floor 1
for 1
from 2
gangster 1
glasgow 1
hailes 1
has 2
he 2
hint 1
his 2
in 1
incrociate 1
inspector 1
internment 1
into 1
investigating 1
is 3
itindagini 1
john 1
journalist 1
kurdish 1
missing 1
moved 1
murdered 1
new 1
no 1
of 2
on 2
protegee 1
racist 1
rape 1
rebus 1
refugees 1
retirement 1
scene 1
seekers 1
seemingly 1
settings 1
should 1
sink 1
siobhan 1
sister 1
skeletons 1
small 1
some 1
son 1
still 1
superiors 1
svadress 1
that 1
the 4
thugs 1
to 1
town 1
turn 1
two 1
unconnected 1
up 1
uses 1
vice 1
victim 1
wester 1
whose 1
work 1
