22345853
/m/05sydtx
/m/05sydtx
Fuyumi Ono
1994-07
a 2
advice 1
after 1
alliances 1
allout 1
among 1
an 1
and 2
are 1
as 1
battle 1
be 1
better 1
between 1
can 1
depending 1
descends 1
during 1
eager 1
enho 2
finds 1
follows 1
friendships 1
from 1
govern 1
her 3
herself 1
how 1
however 1
into 1
is 1
kei 1
keiki 1
kidnapped 1
king 1
kingdom 1
kingdoms 1
leader 1
learn 1
live 1
ministers 1
mountain 1
of 3
on 1
people 1
province 1
put 1
responsibilities 1
strength 1
summon 1
take 1
test 1
the 7
thrust 1
to 6
up 1
village 1
wa 1
war 1
when 1
wiseman 1
year 1
yoko 3
