9740221
/m/02pqrk6
/m/02pqrk6
Antonia Barber

a 26
abandoned 1
able 1
about 4
act 1
advertised 1
after 2
afterwards 1
again 2
age 2
agency 1
ago 2
agree 1
albeit 1
all 1
allen 6
allens 1
alone 1
also 1
although 1
america 1
an 3
and 65
anew 1
any 1
appear 3
appeared 1
appears 2
are 13
around 2
arranged 1
arranges 1
arrivals 1
arrives 1
as 13
ask 1
at 5
attempt 1
attempts 2
attends 1
attic 2
awaits 1
awake 1
aware 3
baby 2
back 5
be 6
because 1
become 1
becomes 2
been 2
before 3
bella 1
belongs 1
below 1
beneath 1
bertie 2
black 1
blackbird 2
blackens 1
blunden 17
book 1
both 2
boy 3
brewed 1
brewing 1
but 7
by 5
call 1
called 1
camden 1
can 2
cannot 1
cant 2
card 1
care 1
caretaker 3
cast 1
cellar 1
cemetery 2
certain 1
charm 3
children 12
church 1
churchyard 1
claverton 3
clean 1
clearly 1
climb 1
clothes 1
come 2
comes 2
confirm 1
confirms 2
containing 1
convince 1
cottage 1
could 1
country 1
crying 1
currently 1
danger 1
daughter 1
day 3
deaths 1
delighted 1
descendants 1
determined 1
did 3
died 2
disappear 1
disheartened 1
dissolute 1
distance 1
do 3
draw 1
drink 1
drinking 1
drugs 1
effect 1
elderly 1
emigrating 1
england 1
escape 2
eventually 1
everything 1
explain 1
explains 1
explore 1
explores 1
eyes 1
fact 1
faded 1
fallen 1
family 4
fate 1
father 1
feeling 2
feels 1
figures 3
find 5
finds 3
fire 3
firm 4
flames 1
flowers 1
focus 1
for 9
forgiven 1
form 1
found 1
frederick 1
from 4
garden 1
gardener 2
gathering 1
georgie 15
get 2
ghostly 1
ghosts 6
girl 1
gives 1
giving 1
go 2
goes 2
grandmother 1
granite 1
grave 3
greatgreat 1
ground 1
grounds 1
guardian 1
guilt 1
hand 1
has 7
haunted 1
have 5
he 7
hears 1
heart 1
heavy 1
held 1
help 6
her 11
herself 1
him 5
his 4
hold 1
home 1
hopes 1
house 14
housekeeper 1
hovers 1
however 2
hundred 4
hypnotic 1
if 1
ignored 1
ill 1
in 25
indeed 1
infusion 1
inherit 1
inherited 1
inquire 1
instead 1
intervention 1
into 2
investigate 1
is 13
it 4
jamie 24
job 2
journey 1
just 2
keen 1
keep 1
knowing 1
langley 2
later 1
latimer 2
lawn 1
leads 1
learn 1
leave 2
leaves 2
led 1
less 1
library 2
like 1
little 1
lived 1
lives 1
living 1
local 1
locked 2
london 1
looking 1
losing 1
love 1
lucy 17
man 2
manages 1
marking 1
married 2
means 1
meet 3
memorial 1
mentions 1
mind 1
minutes 1
mist 2
moment 1
morning 1
mother 3
move 2
moved 1
mr 11
mrs 9
murder 1
musichall 1
must 2
named 1
nearer 1
need 2
negatively 1
new 1
newcomers 1
news 1
next 3
night 1
no 1
nonetheless 1
normal 1
not 3
nothing 2
notice 1
now 4
nursery 2
of 30
off 1
often 2
old 3
oldfashioned 1
on 2
one 3
only 2
opportunity 1
oppressive 2
ordinary 3
original 1
out 2
outside 2
over 1
own 1
owner 2
owners 2
pain 2
panics 1
park 2
past 4
path 1
penniless 1
people 2
percival 1
performer 1
perhaps 1
person 1
pleas 1
post 1
potion 2
progress 1
promises 1
put 1
puzzled 1
razed 1
reacts 1
receive 1
recipe 2
relieved 1
repeating 1
rescue 2
returns 3
right 2
room 2
ruins 1
rumours 2
runs 3
sad 1
safe 1
sara 18
save 2
saved 1
saying 2
scared 1
scheme 1
screams 1
searching 1
seem 2
seems 2
sees 1
sense 1
sensual 1
sexton 1
shadows 1
she 17
should 1
sight 1
since 1
sleep 1
small 1
smith 2
so 1
solicitor 3
solicitors 2
solidify 1
some 3
someone 1
song 2
soon 2
spirit 1
spite 1
stands 1
starts 1
still 1
stone 1
such 1
suddenly 2
suffered 2
suffering 2
suitable 1
sunny 1
supernatural 1
sure 1
surprisingly 1
swirls 2
take 1
taken 1
takes 1
talk 1
talking 1
tall 1
tells 4
tend 1
than 1
that 30
the 113
their 10
them 11
themselves 3
there 3
they 20
theyre 2
things 3
thinks 2
this 2
those 1
three 1
through 5
time 8
to 47
tom 3
towards 2
town 1
traced 2
transparent 1
trapped 1
true 2
trust 1
two 4
uncle 1
unconscious 1
understand 3
until 4
up 2
upset 1
upstairs 1
village 1
violently 1
visit 3
visits 1
voices 3
waiting 1
walking 3
wanders 1
warning 1
was 2
wealth 1
well 1
what 3
wheel 1
when 4
where 2
which 1
while 3
whilst 1
who 6
wickens 6
widow 1
will 6
window 1
with 4
woman 1
world 2
worry 1
would 2
wouldnt 1
years 5
young 1
younger 1
