4517548
/m/0c6qnh
/m/0c6qnh
Rex Stout

20 1
24hour 1
a 10
acquittal 1
acquitted 1
after 2
agreement 1
alibi 1
all 2
also 1
an 2
and 16
anne 1
another 3
archie 1
are 1
aroused 1
arrested 1
arrow 8
as 1
asleep 2
aspect 1
aspects 1
assets 3
at 1
attending 1
badly 1
bags 2
basis 1
be 1
beat 1
because 1
bed 1
bedroom 1
before 1
bert 15
body 1
both 1
brings 1
broadway 1
broke 1
brother 2
brotherinlaw 1
brought 1
business 1
but 4
by 2
canada 1
care 1
certifies 1
charged 1
check 1
contact 1
contract 1
could 1
cream 3
crime 1
david 2
death 2
determine 1
died 3
dinner 1
disappearance 1
disappeared 1
doctor 2
dollar 1
due 2
earlier 2
empty 1
english 1
enough 1
estate 2
events 1
ever 1
evidence 1
expected 1
fallen 1
family 3
fashion 1
father 3
feelings 1
fell 1
felt 1
fistfight 1
five 1
for 2
found 2
from 2
fyfe 3
giving 1
go 1
goren 3
got 1
guilty 1
had 6
has 3
have 2
having 1
he 4
high 1
him 2
hires 1
his 12
hot 1
hotel 2
ice 3
ill 1
in 8
inheritance 1
into 1
investigate 1
invited 1
is 2
it 3
jail 1
johnny 1
just 1
killed 1
kisco 1
largely 1
later 1
lay 1
left 3
looking 1
louise 4
manhandled 1
masher 1
matter 2
might 2
million 1
mining 1
miss 2
missing 1
morphine 2
mount 1
moved 1
murder 1
nearly 1
new 1
next 2
night 3
not 1
now 1
nurse 3
nursing 1
of 9
on 3
one 1
opened 1
operation 1
over 1
partner 1
partnership 1
paul 8
phoned 1
physician 1
pneumonia 4
police 1
presence 1
problem 1
protective 1
provided 1
put 1
quarts 1
recently 1
reestablish 1
refer 1
refrigerator 1
regarding 1
relatives 1
represent 1
required 1
rest 1
returned 1
rich 1
romantic 1
room 2
roommate 1
school 1
see 1
send 1
sends 1
several 1
she 1
shelter 1
show 1
similar 1
since 1
sister 1
snowy 1
so 1
somehow 1
someone 1
something 1
spent 1
strange 2
struck 1
subsequent 1
substitute 1
suffering 1
suggests 1
suite 1
supposed 1
teacher 1
terms 1
that 9
the 25
their 2
them 3
then 2
there 5
they 1
thinks 1
ties 1
time 1
to 23
toxic 1
tuttle 4
twenty 1
two 2
under 1
uneaten 1
uranium 2
vincent 2
volunteered 1
was 8
watch 1
water 1
way 1
went 1
were 2
when 1
where 1
whether 1
while 1
who 2
windows 1
winter 1
with 8
wolfe 3
years 2
yet 1
york 1
