4904442
/m/0ctfh5
/m/0ctfh5
Joe Dever
1985
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 2
accomplish 1
ancient 1
and 2
as 1
become 1
book 1
by 1
directing 1
eagle 1
except 1
faded 1
far 1
find 1
first 2
for 2
fulfill 1
glory 1
grand 1
grandmaster 1
guide 1
he 1
him 1
himself 1
his 2
in 4
inscription 1
is 1
kai 5
last 1
led 1
little 1
lone 3
lore 1
lorestone 1
magnakai 1
master 1
monumental 1
must 2
of 6
off 1
only 1
order 1
pledge 1
relic 1
restore 1
retrieve 1
revive 1
seek 1
sets 1
so 1
sommerlund 1
south 1
stones 1
stornlands 1
studies 1
sun 1
task 1
the 13
there 1
this 2
to 7
varetta 2
wisdom 1
wolf 3
