922462
/m/03q67v
/m/03q67v
Larry Niven

200 1
a 23
abroad 1
actual 1
after 1
age 1
ago 2
all 3
along 1
american 1
among 1
an 2
and 8
andes 1
animals 1
anything 1
apparatus 1
apprentice 1
aran 1
are 1
as 2
assisted 1
at 2
atlantis 1
away 2
battle 1
be 1
becomes 1
berzerkers 1
between 1
bodies 1
book 1
both 2
building 1
but 2
by 2
called 1
carried 1
cause 1
caused 1
causing 1
chains 1
clubfoot 1
collapses 1
comes 1
composes 1
concern 1
consisting 1
consumes 2
cost 1
could 1
coyote 1
create 1
created 1
creatures 1
cultures 1
cured 1
decline 1
defeating 1
deformity 1
depleted 1
deprived 1
described 1
device 1
devised 1
devolve 1
diminishing 1
disc 1
discovered 1
do 1
dwindle 1
earth 3
eliminating 1
enchanted 1
enchantment 1
enemy 1
enforced 1
etc 3
events 1
eventual 1
eventually 2
evidence 1
example 1
excess 1
experiment 1
experimentation 1
explain 1
exploiting 1
fade 1
failure 1
fantasy 1
few 1
find 1
fire 1
first 1
foe 1
foot 1
for 2
foremost 1
formerly 1
from 1
fueled 1
god 5
goes 1
great 1
greek 1
half 1
harness 1
have 2
he 6
hillside 1
him 2
himalayas 1
his 7
horse 1
houses 1
however 1
huitzilopochtli 1
hummingbird 1
in 12
inhabit 1
inherent 1
intercepted 1
internally 1
invented 1
invisible 1
is 4
it 5
its 3
kattee 2
known 1
leads 1
leaves 1
lefthanded 1
lies 1
living 1
local 1
localized 1
loki 1
long 2
love 2
lover 1
madness 2
magic 8
magical 1
magically 1
magician 1
magicians 3
mana 7
many 1
mates 1
may 1
mesoamerican 1
metal 1
might 1
mirandee 1
moon 1
most 1
mountain 1
murder 1
name 2
named 1
nations 1
native 1
necromancer 2
necromancy 1
never 1
new 1
niven 1
nonrenewable 1
normal 1
not 1
now 1
observes 1
of 18
on 4
once 1
one 2
only 1
or 1
originally 1
orolandes 1
other 1
over 2
overhangs 1
own 1
part 1
past 1
patriarch 1
perpetually 1
place 2
point 1
power 4
powerful 4
powers 1
practice 1
quest 1
realizes 1
recent 1
rendered 1
replenishing 1
resource 1
resulting 1
return 2
rockies 1
roze 2
same 1
sane 1
shield 1
simple 2
sinking 1
slowly 1
solar 3
soldier 1
some 1
sorcerer 1
source 1
spin 1
spine 1
stays 1
suddenly 1
sun 1
supported 1
survivor 1
system 1
tail 1
taking 1
that 8
the 41
their 2
those 1
thousand 1
through 1
time 4
to 6
too 1
traditional 1
trapping 1
trickster 1
triggered 1
under 1
unicorn 1
universe 1
unknown 1
unpronounceable 1
vicinity 1
warlock 8
was 3
wavyhill 2
werewolf 1
wheel 2
when 4
which 1
who 2
whose 1
why 1
widespread 1
will 1
wills 1
wind 1
witch 1
with 1
world 3
worm 1
worship 1
would 3
yanginatep 1
years 2
zoosh 1
