17472991
/m/047dj3c
/m/047dj3c
Lorie Ann Grover
2004-05-25
{"/m/0dwly": "Children's literature"}
16 1
a 4
ability 1
adult 3
adults 1
although 1
and 1
are 1
as 1
at 1
ballet 3
be 3
best 1
but 2
changes 1
city 3
clare 3
class 3
dance 4
dancers 1
dances 1
dream 1
everything 1
family 1
finally 1
for 3
friend 1
girl 1
grandfather 1
has 1
have 1
he 1
her 6
his 1
if 1
in 5
instructor 1
invited 1
involves 1
is 5
it 1
just 1
loses 1
move 1
named 2
not 1
only 2
own 1
positions 1
program 1
right 1
rosella 1
school 1
she 5
side 1
skilled 1
steps 1
story 1
stroke 1
stupid 1
take 2
talk 1
tall 2
tells 1
the 7
there 1
things 1
thinks 1
this 1
to 7
too 1
turn 1
up 1
upset 1
very 2
werent 1
when 3
where 1
who 1
with 1
worse 1
would 1
