1728675
/m/05rmfx
/m/05rmfx
Li Zhisui
1994
{"/m/016chh": "Memoir"}
22 1
62 1
a 4
about 1
absurdities 1
according 1
admiration 1
adopt 1
adoption 1
after 1
age 1
alleged 1
also 2
and 7
anxious 1
appeared 1
around 1
as 6
assertion 1
at 5
basis 1
beginning 1
belief 1
book 2
but 1
china 1
chinese 1
coated 1
communist 1
conservative 1
contempt 1
country 1
cultural 1
daytoday 1
dealing 1
demands 1
dental 1
describes 1
despite 1
deteriorate 1
disgust 1
doctor 1
due 1
effects 1
excessive 1
excitement 1
experiences 1
expresses 1
family 1
famine 1
fascination 1
fertility 1
fields 1
film 1
focuses 1
following 1
for 3
frequent 1
from 1
give 1
greencolored 1
growing 1
gums 1
has 1
health 2
height 2
his 9
history 1
hygiene 1
hypocritical 1
illness 1
impression 1
in 1
including 2
indifferent 1
initial 1
intrigue 1
it 1
large 1
leader 1
leadership 1
leading 1
li 5
life 4
lifestyle 1
major 1
mao 12
massive 1
mostly 1
must 1
near 1
neglecting 1
nixon 1
numerous 1
of 12
on 2
oozed 1
out 1
paranoia 1
partners 1
party 1
people 1
personal 2
point 1
political 1
population 1
potence 1
powers 1
president 1
private 1
problems 1
prolongs 1
propaganda 1
public 1
pus 1
putting 1
railroad 1
revolution 2
rice 1
richard 1
selection 1
sex 1
sexual 3
sexually 1
signs 1
started 1
such 1
suffered 1
taoist 1
teeth 1
that 3
the 18
this 1
time 1
to 7
touched 1
tracks 1
two 1
unrealistic 1
use 1
visit 1
was 1
well 2
were 1
when 1
while 1
with 2
within 1
witnessed 1
writes 1
years 1
