4885959
/m/0cslmq
/m/0cslmq
Jeff Smith
2004-04-25
{"/m/01hmnh": "Fantasy", "/m/01z4y": "Comedy"}
4 1
5 1
a 35
able 1
about 2
activity 1
after 4
again 1
all 5
allegiance 1
allowing 1
almost 1
along 1
also 2
an 5
and 78
anger 1
angry 2
any 1
anyone 1
appear 1
appears 1
approach 1
are 14
arguing 1
army 3
around 1
arrive 1
arrives 3
arrows 1
as 19
aside 1
asked 1
asks 9
at 17
ate 1
atheia 1
atop 1
attached 1
attack 2
attacking 2
attempt 1
attempting 1
attempts 1
away 2
back 7
bakes 1
barrelhaven 2
bars 3
bartelby 1
bartleby 11
basket 1
battering 1
battle 2
be 3
beaten 1
because 5
been 1
before 3
begins 1
behind 1
being 1
believes 2
below 1
ben 9
beyond 2
biscuits 1
bites 1
blow 1
body 1
bone 24
bones 3
boneville 8
book 1
both 1
bread 2
break 4
breaks 1
briar 10
bright 1
brings 1
brother 2
brutally 1
burial 2
burst 1
bury 1
bushes 1
but 6
by 12
cakes 2
capture 1
captures 1
carries 1
cart 2
caused 1
causing 1
cavern 1
celebrate 2
celebrating 1
cell 4
chains 1
chamber 2
change 1
changed 1
changes 1
chapter 3
charge 1
chases 1
cheer 1
chieftain 1
child 1
christmas 1
circle 1
circles 4
city 5
claim 1
claims 3
clamber 1
climb 2
climbs 2
clinging 1
closes 1
coin 1
coins 1
collection 1
comatose 1
come 1
comely 1
coming 1
compatriots 1
complains 1
conceal 1
confining 1
continue 1
continuously 1
control 1
corners 1
coronation 1
could 1
cousins 3
creature 2
creatures 12
cross 1
crown 13
cuts 1
dance 1
day 1
death 3
decides 1
declares 2
deduce 1
defies 1
defying 1
delivering 1
delivers 1
demonic 1
desert 2
desperately 1
despise 1
despite 1
destroy 3
did 2
different 1
disappointment 1
discovers 1
discussed 1
do 1
dollar 1
dont 1
door 1
down 3
dragon 16
dragons 8
dream 2
drive 1
dungeon 2
during 1
earlier 1
eat 2
emerges 1
encounter 1
end 1
endangering 1
enemies 2
enemy 2
energy 1
enter 2
envelope 1
escape 1
escaping 1
estimating 1
everything 3
except 1
exchanged 1
experience 1
explaining 1
exploding 1
explosion 1
exposed 1
expresses 1
eyes 1
face 3
facing 1
fail 2
fails 1
falls 1
farmer 1
fear 2
featured 2
fifth 1
fight 3
fighting 1
finally 1
find 4
firebut 1
first 4
flank 1
flee 1
flies 2
flooded 1
flow 1
flung 1
flying 1
fone 34
food 2
for 17
forcing 1
forget 1
former 1
formerly 1
forms 1
forth 1
fought 1
free 1
frees 1
friends 1
from 10
front 2
frozen 1
fur 1
gaps 1
gard 3
gate 2
gates 1
gather 1
generated 1
get 1
getting 1
ghost 5
given 3
gives 3
go 3
