10996473
/m/02qxmcj
/m/02qxmcj
John Varley

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 9
activities 1
aliens 1
all 1
allusion 1
also 1
and 15
are 3
as 11
aspect 1
attempted 1
attempting 2
beach 2
become 2
becomes 1
been 4
beginning 1
being 1
beneath 1
beyond 1
bizarre 1
blend 1
book 1
both 1
boxing 2
brontosaurus 1
burger 1
but 2
by 3
case 1
causes 1
celebrity 1
central 7
change 1
chaos 1
citizen 1
city 2
civilization 1
clone 1
cloned 1
cloud 1
colonies 1
colonized 1
come 1
commit 1
complete 1
computer 7
conflicting 1
contact 1
court 1
crash 1
deals 1
death 1
deceased 1
destructive 1
different 1
disneylands 1
dissatisfied 1
doom 1
earth 5
earththemed 1
eight 1
eventually 2
every 3
evolved 1
experiments 1
explaining 1
fighting 1
figure 1
figured 1
finds 1
first 1
fish 1
fleeing 1
free 1
friend 1
from 2
globe 1
golden 1
government 1
group 1
had 1
half 2
has 7
have 2
having 1
he 2
headsinjars 1
heavily 1
heavilyinhabited 1
herds 1
hiding 1
hildy 8
how 1
human 2
humanity 1
humans 1
if 1
in 13
indoctrinations 1
inevitable 1
information 1
inhospitable 1
invaders 2
invading 1
is 4
it 2
its 1
itself 4
johnson 2
jupiter 1
just 1
keep 3
knife 1
known 2
land 1
launching 1
learns 1
leaves 1
life 3
like 1
luna 2
machine 1
made 1
make 1
makes 1
male 1
many 1
military 1
minor 1
moon 6
moons 1
most 1
multiple 2
nature 1
nearutopian 1
negotiating 1
newspaper 1
now 1
obliterated 1
occurrences 1
of 12
off 1
offlimits 1
on 4
onto 2
oort 1
or 1
order 1
other 1
out 2
part 1
partially 1
patties 1
people 5
performing 1
person 1
place 1
planets 1
populated 1
population 1
projection 1
protagonist 1
question 1
raid 1
refugees 1
reporter 2
rescued 1
resorts 1
result 1
reveal 1
run 1
runs 1
sacrifice 1
sand 1
schizoid 1
second 1
secret 2
sends 1
set 1
several 1
sex 1
she 2
similar 1
simply 1
since 1
slash 1
snakes 1
society 2
solar 4
source 1
space 1
spacesuits 1
starts 1
steel 2
story 1
strenuous 1
such 2
suicide 2
sunburns 1
suspect 1
system 4
take 2
technology 1
that 5
the 40
their 2
then 3
there 1
these 1
they 3
this 1
throes 1
through 1
thrown 1
times 2
to 14
travel 1
trouble 1
unclear 1
universe 2
universes 1
up 1
varleys 1
versions 1
was 2
way 1
well 1
were 1
which 2
who 3
will 1
with 5
without 1
world 1
worlds 1
