25842601
/m/09v45kv
/m/09v45kv
Henry Harpending
2009

1 1
10 1
100 2
10000 1
163 1
170 1
2000 1
2007 1
37000 1
40 1
40000 1
5000 1
50000 1
5300 1
6000 1
8 1
a 23
ability 3
about 4
absorb 1
accelerate 1
accelerated 3
accelerating 1
according 1
acquiring 1
acre 1
across 1
ad 1
adaptation 1
adaptations 2
adapted 2
adaptive 4
addition 1
adopted 1
adulthood 1
advent 1
africa 1
africans 1
after 1
aggressive 1
ago 4
agriculture 2
agricultureand 1
albeit 1
all 1
allele 2
alleles 4
almost 1
alone 2
already 1
also 1
although 1
americas 1
an 6
analysis 1
anatomically 1
ancient 1
and 32
animal 1
another 2
appeared 1
appears 1
arabs 1
are 4
areas 1
argue 2
argued 1
argument 5
arisen 1
arose 1
arthurian 1
as 13
ashkenazi 1
asians 1
assert 1
associated 1
astonishing 1
at 3
attempted 1
attracted 1
authors 10
back 1
backdrop 1
based 1
bastian 1
bc 1
be 5
became 1
become 1
becomes 1
been 7
before 1
begin 1
beginning 1
behavior 1
behaviours 1
behind 1
believe 1
benefited 2
benefits 1
better 3
between 2
biological 3
biology 2
black 1
blue 1
bodies 1
body 1
book 4
books 3
boot 1
both 2
brain 4
britain 1
built 1
but 2
by 10
call 1
calories 1
came 2
camels 1
can 1
cannot 2
carried 1
case 3
caspian 1
cause 1
cavallisforza 1
central 1
chance 1
change 3
changed 1
changes 1
chapter 2
chapters 1
cited 1
civilisation 1
civilization 1
clear 1
clearly 1
cochran 8
colonization 1
colonizers 1
colour 2
combinations 1
coming 1
comments 1
commonly 1
compatible 1
complementary 1
complete 1
completely 1
concentrate 1
conclusion 2
conquering 1
conquest 1
conquests 1
consequence 1
consider 1
consistent 2
content 2
continue 2
continuing 1
control 1
conventional 2
core 1
could 5
course 1
coverage 1
cows 1
creating 1
criticism 1
culture 1
d 1
dairy 1
darker 1
darkskinned 1
darwin 1
data 2
dawkins 1
debate 1
decades 1
deep 1
defeated 1
described 1
determine 1
determinism 1
development 1
diamond 1
diamonds 1
did 1
diet 1
diets 1
differences 2
different 4
difficult 1
digest 3
direct 1
discuss 1
discussion 2
discussions 1
diseases 1
disperse 1
distinctive 1
distribution 1
distributions 1
do 1
doctrine 1
done 1
drastically 1
drift 1
drinking 1
driven 1
during 1
earlier 1
early 1
easily 1
east 1
effect 2
effects 1
embrace 1
emerged 1
encountered 1
enough 1
environmental 1
environments 1
ernst 1
escape 1
essentially 1
established 1
estimate 1
estimates 1
european 1
europeans 4
even 1
eventually 1
everything 1
everywhere 1
evidence 3
evolution 8
evolutionary 2
evolved 2
example 1
existence 1
existing 1
expanding 1
expansions 1
experts 1
explain 1
explosion 1
extensive 1
eyes 1
fact 1
fad 1
falsifiable 1
farming 6
faster 1
favourable 4
favouring 1
final 3
finns 2
first 3
fish 1
fishers 1
flow 1
follows 1
food 1
for 17
foraging 1
found 1
four 1
frequency 1
from 12
fully 1
functions 1
further 1
gained 1
gene 5
general 1
generating 1
genes 6
genetic 4
geographic 2
