751672
/m/03899g
/m/03899g
John Grisham
1998
14th 2
a 10
admits 1
advocate 1
after 1
against 1
allegations 1
although 1
an 3
and 9
antitrust 1
as 2
asks 1
assist 1
at 1
available 1
bad 1
be 1
bono 1
book 1
brock 6
business 1
but 1
by 5
calling 1
certain 1
class 1
clients 1
clinic 5
comes 1
compelled 1
complicit 1
concerned 1
confidential 1
copy 1
dc 1
death 1
deepens 1
deeply 1
divorcing 1
drake 3
drugaddicted 1
employer 1
ends 1
enters 1
events 1
eventually 2
eviction 2
family 1
feels 1
fighting 1
file 1
finds 2
firm 3
for 3
found 1
freed 1
further 1
green 1
has 2
he 8
head 1
help 1
him 2
himself 1
his 5
homeless 6
hostage 1
hostages 2
illegal 1
in 4
intending 1
interest 1
investigate 1
investigation 1
is 4
it 1
its 2
large 1
launches 1
law 2
lawsuit 1
lawyer 1
lawyers 1
leads 1
learned 1
leaves 1
legal 2
lives 1
love 1
make 1
malpractice 1
man 1
many 1
matter 1
mediation 1
meets 2
megan 2
michael 1
mister 1
mordecai 1
named 1
night 1
of 11
offers 1
offices 1
on 1
one 3
own 1
partner 1
partners 1
payout 1
people 1
police 1
poorlypaid 1
position 1
pro 1
process 1
protect 1
publicity 1
quickly 1
receives 1
reflecting 1
resulted 1
rights 2
ruby 2
settled 1
shared 1
shelter 1
shocked 1
short 1
shot 1
sniper 1
staff 1
street 2
suspected 1
sweeney 3
take 1
takes 2
taking 1
terrified 1
that 1
the 25
theft 2
their 1
them 1
therapy 1
this 1
to 11
troubled 1
vacation 1
victims 1
was 1
washington 1
way 1
what 2
where 1
which 2
who 1
wife 1
with 5
women 1
work 1
works 1
young 1
