623480
/m/02xsf6
/m/02xsf6
Terry Pratchett

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 16
able 2
acceptable 1
after 1
again 1
against 3
agnes 6
all 2
almost 1
also 1
although 1
an 1
and 25
anything 1
apparently 1
appears 2
are 5
as 2
ashes 1
at 1
attacked 1
attempt 1
attempts 1
attracted 1
be 4
because 1
become 1
been 3
begin 1
being 2
berwald 4
biscuits 1
bitten 1
bizarre 1
blood 3
breeding 1
bright 1
building 1
but 3
by 9
carried 1
castle 4
caused 1
cave 1
ceremony 1
charm 1
chase 1
citizens 1
clan 1
collected 1
combination 1
comes 1
conducted 1
confront 1
consider 1
considerable 1
convince 1
corners 1
cottage 1
count 7
craving 1
cravings 1
cremation 1
crush 1
crypt 1
current 1
dark 1
daughter 4
defeat 2
defeated 1
described 1
destined 1
detour 1
discworldalthough 1
distributing 1
do 2
done 1
dont 1
drop 1
dual 1
due 2
dungeon 1
during 1
eg 1
else 1
empty 1
end 1
enemies 1
escape 1
esmerelda 1
even 1
everyone 1
exposing 1
extreme 1
fail 1
family 4
far 1
fashion 1
feeling 1
fighting 1
finally 1
find 2
fly 1
flying 1
for 4
forced 1
formidable 1
from 1
fun 1
garlic 1
give 1
gone 1
granny 4
harm 1
has 6
have 7
having 2
he 2
help 3
helped 1
her 5
hermit 1
herself 1
hide 1
him 4
his 3
holy 1
horrified 1
hot 1
hypnotic 1
hypnotism 1
igor 6
igors 2
impression 1
in 6
including 1
infant 1
influence 1
informed 1
informs 1
instead 1
intend 1
into 3
invited 1
is 13
it 1
keep 1
kidnapped 1
killedthough 1
king 1
lancre 4
least 1
left 2
levels 1
life 1
light 1
like 3
lisp 1
look 1
looking 1
low 1
made 1
magpyr 8
magpyrs 9
magrat 7
make 1
margaret 1
meanwhile 1
methods 2
mightily 3
modern 2
more 2
move 1
much 1
naming 1
nanny 6
neck 1
new 1
nitt 1
normal 1
not 3
note 1
oats 3
of 19
ogg 2
old 4
oldfashioned 1
omnian 2
on 2
only 2
or 1
originally 1
other 1
out 1
over 1
people 1
perfectly 1
permanently 1
personalities 1
physical 1
plan 1
prefer 1
prefers 1
presumably 1
priest 2
probably 1
problem 1
procedures 1
process 1
proper 1
protected 1
quarters 1
quite 1
reawakened 1
rebelling 1
religious 2
remember 1
repellents 1
residence 1
resist 2
resists 1
return 1
revealed 1
rude 1
save 1
seem 1
seems 3
self 1
series 1
servant 1
sharing 1
she 4
some 1
son 1
spare 1
spelling 1
spends 1
spiders 1
spilled 1
sportsman 1
start 2
stock 1
strain 1
stumbling 1
success 1
such 1
surprisingly 1
sweet 1
symbols 2
take 1
tea 1
tells 1
that 10
the 41
their 6
them 4
themselves 3
there 1
they 8
this 3
though 1
thought 1
time 1
tired 1
to 32
tolerance 1
too 1
towards 2
tradithionalitht 1
traditionalist 1
turning 1
type 2
unable 2
understand 1
ungranny 1
up 2
upset 1
used 1
using 1
usual 1
vampire 4
vampires 4
vampirism 2
verence 2
very 2
vlad 1
water 1
ways 1
weatherwax 2
weatherwaxed 1
were 1
what 1
when 4
whereas 1
while 1
who 6
witch 1
witches 1
with 3
without 2
work 1
working 1
would 1
younger 1
youngest 1
