3415174
/m/09b8z1
/m/09b8z1
Bibhutibhushan Bandopadhyay

{"/m/08sdrw": "Adventure novel"}
10110 1
20 1
a 20
about 2
absolutely 1
accident 1
accompanies 1
adventure 1
adventures 2
africa 3
africamaneating 1
after 1
again 1
alavarez 2
all 1
already 1
also 1
alvarez 4
and 19
animals 1
another 1
as 7
attilio 1
back 1
becomes 1
being 1
bengali 1
black 1
book 1
boots 1
braved 1
bunyip 3
buries 1
but 2
by 6
can 1
carter 3
carters 1
cave 4
challenge 1
christian 1
civilization 1
clerk 1
college 1
companion 1
continue 1
dangers 1
day 1
decides 1
deep 1
deeply 1
deserts 1
desolate 1
diamond 4
diamonds 3
diego 1
dies 1
difficulty 1
does 1
each 1
earlier 2
encounter 1
encounters 2
ends 1
enters 1
eventually 2
exploits 1
explorer 2
explorers 1
famous 1
fellow 1
few 1
find 2
finds 2
first 1
follow 1
footsteps 1
for 2
forests 2
fortunately 1
found 1
from 3
gatti 3
get 1
gets 2
gives 1
goes 1
gold 1
graduated 1
great 1
greatest 1
guards 1
had 3
hardships 1
has 1
hazard 1
he 22
here 1
him 4
his 6
home 1
hospital 1
how 1
however 1
i 1
idolizes 1
in 10
influences 1
innumerable 1
is 5
it 1
italian 1
jim 1
job 4
jungles 1
jute 1
kalahari 1
keeps 1
killed 2
knowing 1
lands 1
large 1
largest 1
later 1
laying 1
learns 2
legacy 1
legendary 1
life 1
like 1
lions 1
livingstone 1
loathes 1
long 1
looks 1
lost 3
luck 1
mamba 1
man 1
mans 1
many 1
marco 1
marking 1
master 1
meet 1
memento 1
middleaged 1
mill 1
mine 2
mines 3
monster 2
months 1
more 1
mountains 1
mungo 1
mysterious 1
mythical 1
nearly 1
not 1
note 3
of 13
old 2
once 1
one 1
out 3
park 1
pebbles 1
piece 1
poisonous 1
polo 1
portuguese 1
preworld 1
prospect 1
prospector 1
protagonist 1
raging 1
rail 1
railways 1
reach 1
read 1
reads 1
really 1
recently 1
remains 1
rescued 1
rescues 1
return 1
rhodesia 1
richtersveld 1
rites 1
said 1
sail 1
salisbury 1
same 1
saying 1
second 1
secures 1
sets 2
shankar 5
skeleton 1
so 1
some 1
soon 1
spends 1
station 2
story 1
stroke 1
survey 1
take 2
taken 2
takes 1
taking 1
team 2
tells 1
that 5
the 31
there 2
they 3
thirst 1
thought 1
through 1
thwarted 1
to 8
tracks 1
uganda 1
uncut 2
up 3
venture 1
villager 1
volcano 1
wants 1
war 1
was 1
way 1
were 1
where 2
which 2
whoever 1
whom 1
wild 1
will 1
with 7
without 1
working 1
year 1
yearns 1
years 1
young 1
