2103817
/m/06mc8y
/m/06mc8y
Jocelyn Stevenson

a 6
about 2
after 1
all 3
also 1
am 2
and 13
any 1
apartment 1
apprehensions 1
are 5
around 1
as 2
asks 1
at 4
back 1
be 1
because 2
become 1
bed 1
bend 1
bert 1
best 1
betty 1
big 4
bird 4
books 1
by 3
called 1
can 1
come 2
coming 1
consoles 1
cookie 1
course 2
creeped 1
cry 1
crying 1
david 1
delight 1
do 1
each 1
empty 2
ernie 1
even 1
everybodee 1
everyone 1
exclaiming 1
experiences 1
finds 1
fixit 1
following 1
for 1
friend 1
friends 7
funny 1
going 1
grand 1
greet 1
grouch 1
grover 19
hands 1
has 5
have 3
he 7
hell 1
hello 1
her 1
here 2
him 3
his 6
hollers 1
home 1
hooper 1
however 1
i 4
in 7
invites 1
is 4
it 2
jersey 1
job 1
last 1
learns 1
like 1
likely 1
longer 1
lou 1
luis 1
makes 1
managed 1
maria 1
may 1
means 2
meet 1
meets 1
minnie 4
misunderstanding 1
mommy 3
monster 2
more 1
mother 3
move 4
moving 1
much 2
my 1
neighbourhood 3
nest 1
new 9
news 1
night 1
no 2
none 1
not 1
obvious 1
of 7
on 6
operated 1
oscar 2
other 1
our 1
out 1
outside 1
pack 1
page 1
pippy 1
place 1
problem 1
quickly 1
rather 1
realizing 1
regrets 1
remains 1
replies 1
resident 1
returning 1
room 3
see 1
semantics 1
sesame 2
settled 1
shakes 1
she 1
shock 1
shop 2
smells 1
soda 1
somewhere 1
sounds 1
speech 1
starts 2
statement 1
steps 1
stop 1
stopping 1
store 1
street 3
suburbs 1
take 1
tells 1
than 1
that 4
the 18
then 2
they 2
think 1
this 3
to 13
too 1
tour 1
two 1
unpacking 1
upbeat 1
us 1
visit 1
we 1
what 1
when 2
where 2
which 2
while 1
with 4
wont 1
