10743236
/m/02qntz6
/m/02qntz6
Michael Ondaatje
2007-04-17
{"/m/0488wh": "Literary fiction", "/m/02xlf": "Fiction"}
a 9
adopted 1
after 1
age 1
all 1
almost 1
an 1
and 7
anna 5
apart 1
are 2
as 3
at 1
baby 1
becomes 1
begins 1
book 1
born 1
by 1
california 1
centres 1
characters 1
children 1
claire 3
close 1
coast 1
coop 3
cooper 2
daughter 1
details 1
down 1
each 1
explores 1
family 2
farm 2
farmhouse 1
father 2
firm 1
first 1
for 1
four 1
france 1
francisco 1
french 2
gambler 1
hand 1
has 1
her 2
hired 1
his 3
how 1
in 5
incident 1
interconnected 1
is 2
journeys 1
later 1
law 1
life 2
live 1
lives 1
lucien 1
meanwhile 1
more 1
moves 1
natural 1
northern 1
novel 1
number 1
of 8
on 4
once 1
orphaned 1
owned 1
parallels 1
part 2
poet 2
postincident 1
professional 1
relationship 1
researching 1
san 1
second 1
segura 1
separate 1
sexual 1
she 1
single 1
states 1
stay 1
story 3
taken 1
tears 1
the 17
then 1
they 1
through 1
to 4
treated 2
twins 1
united 1
up 1
violence 1
visiting 1
was 3
way 1
weekends 1
west 1
when 2
where 1
which 1
while 2
who 2
whom 1
with 1
work 1
working 1
works 1
