27458984
/m/0c00mvc
/m/0c00mvc
William Harrison Ainsworth
1848
{"/m/014dfn": "Speculative fiction"}
1536 1
1613 1
a 1
account 1
against 2
ainsworth 1
an 2
and 1
appearance 1
as 1
backdrop 1
based 1
book 1
by 3
catholics 1
clerk 1
countie 1
court 1
discoverie 1
english 1
first 1
grace 1
henry 1
himself 1
his 1
in 3
instituted 1
is 1
king 1
lancashire 1
lancaster 1
largely 1
lawyer 1
makes 1
northern 1
novel 1
of 5
official 1
on 1
one 1
pilgrimage 1
potts 2
published 1
reformation 1
scheming 1
selfserving 1
set 1
story 1
the 11
thomas 1
title 1
to 1
trials 1
under 1
uprising 1
viii 1
witch 1
witches 1
wonderfull 1
written 1
