50223
/m/0d955
/m/0d955
Douglas Adams
1987
1th 2
20th 3
4 1
a 21
able 2
accomplish 1
actions 2
add 1
adding 1
admits 1
after 2
albert 1
all 1
allowing 1
also 2
alter 1
amount 1
an 3
ancient 1
and 17
annual 1
another 1
answering 1
apartment 1
approach 1
are 1
arrival 1
arrives 1
arts 1
as 3
at 4
attempts 1
back 3
be 2
been 2
begins 1
believe 1
believing 1
billion 2
bit 1
body 2
both 1
breaking 1
but 1
by 3
call 1
can 3
case 1
cat 3
caused 1
causes 1
cedd 2
century 5
ceo 1
changes 1
charge 1
charges 1
child 2
chronotis 1
claims 1
client 1
coleridge 7
college 1
company 2
concludes 1
consider 1
consulting 1
convinces 1
correct 1
craft 3
current 1
currently 1
damage 1
demands 1
describe 1
destroyed 1
detective 1
determines 1
develop 1
dinner 2
dirk 9
discovers 3
discusses 1
disguised 1
disrupt 1
distant 1
do 1
due 2
during 1
early 1
earth 5
editor 2
electric 2
employee 1
energy 1
engineer 2
enough 1
entire 1
environmental 1
erase 3
events 1
ever 1
examines 1
expect 1
explode 1
extinction 1
fact 1
find 2
finding 1
finds 4
first 1
fix 1
for 3
formation 1
former 2
found 1
four 1
friend 1
from 5
fully 1
functions 1
fundamental 1
fundamentally 1
generating 1
gently 1
ghost 14
ghostpossessed 1
girlfriend 1
goes 1
gordon 4
group 1
hardship 1
has 1
have 2
having 2
him 3
himself 1
his 7
holistic 1
how 1
however 1
human 2
humanity 1
hypnoticlike 1
if 1
ii 1
in 12
including 1
individual 1
individuals 1
influence 2
influenced 2
influences 3
instructs 1
interconnectedness 1
interrupt 1
into 2
irrationally 1
is 3
it 6
its 1
itself 1
khan 3
kill 2
killing 1
kubla 3
landing 2
late 1
later 2
lead 1
learns 2
life 3
line 1
long 1
longer 1
lost 1
lures 1
macduff 1
machine 7
magazine 1
makes 1
makeshift 1
mariner 1
meanwhile 1
message 1
michael 6
missing 3
mistake 2
misunderstanding 1
monk 4
murder 2
needed 1
never 1
no 2
now 1
of 21
off 1
on 4
only 3
otherwise 1
out 1
part 1
parts 1
past 3
perform 1
phone 3
place 1
plan 1
police 1
populate 1
possess 3
possessed 1
possesses 1
possession 1
possible 1
present 1
prevent 1
problem 1
process 1
professor 1
proposed 1
purposes 1
quarters 4
quickly 1
quirk 1
race 1
read 1
reading 3
realising 1
receives 1
recentlyfired 1
recounts 1
reg 12
repair 2
replaced 1
result 1
return 2
richard 11
rime 1
roams 1
ross 2
salaxalan 2
salaxalans 2
same 1
samuel 1
saving 1
second 2
section 1
seeking 1
sets 1
sister 1
small 2
someone 1
sought 1
soul 1
spark 1
st 2
start 1
state 1
student 1
subtle 3
successful 1
suit 1
supplant 1
surmises 1
susan 2
suspect 1
take 1
task 1
taylor 1
technologies 1
telephone 1
temporarily 1
that 8
the 67
their 3
them 2
then 2
there 1
they 3
things 1
this 2
those 1
through 1
time 6
to 36
travel 1
trick 2
trickery 1
tries 1
trying 1
two 1
undo 1
unusable 1
up 1
upon 2
urban 1
use 2
used 1
using 1
very 1
waiting 2
want 1
was 6
watch 1
watching 1
way 3
wayforward 1
wayhis 1
ways 1
wentonweakes 1
which 1
while 3
who 5
whose 1
will 1
with 4
work 2
works 2
would 1
writer 1
written 1
years 2
young 1
