23346803
/m/06w507p
/m/06w507p
Carl Hiaasen
1989
a 38
abandon 1
abandoned 1
abdominoplasty 2
about 2
accident 1
accidental 1
accidentally 1
actress 1
advise 1
advises 1
after 4
again 3
agreed 1
agrees 1
al 3
alarmed 1
alimony 1
alive 1
along 1
also 2
ambush 1
ambushes 1
amount 1
an 3
and 36
anesthesia 1
announces 1
another 2
apart 1
appears 2
are 3
argue 1
arm 1
around 1
arrested 1
arrives 1
associates 1
at 5
attach 1
attempt 1
attempts 1
attorney 1
attracted 1
attraction 1
avoid 1
away 1
awry 1
back 2
bal 1
barletta 6
barracuda 1
bay 2
be 1
been 4
before 2
begin 1
being 1
biscayne 1
bitten 1
blackmail 1
blast 1
blowing 1
boat 1
body 5
booby 1
botched 2
break 1
breakfast 1
bribery 1
brilliant 1
brother 1
brotherinlaw 1
buddies 1
built 1
burns 1
bursts 1
but 5
by 15
calls 2
cameraman 1
canceled 1
cannula 1
cant 1
case 3
center 1
certified 1
chappell 1
chemo 19
chest 1
chipper 1
chloe 4
christina 10
circumstances 1
city 2
clinic 2
clumsy 1
coed 1
college 1
come 1
comes 2
commissioner 1
community 1
complaints 1
complete 1
conduct 1
confesses 2
confession 1
confront 1
confrontation 1
confronts 1
connections 1
conventional 1
convicted 2
copy 2
cordova 1
corrupt 2
cosmetic 1
could 1
country 1
county 1
created 1
credit 1
cronies 1
dangerous 1
dangerously 1
day 1
dead 3
death 2
decides 3
delivers 1
dermabrasion 1
detail 1
detective 1
detectives 1
device 1
did 1
died 1
directions 1
director 1
disappearance 1
disastrous 1
discount 2
disfigured 1
disposing 1
dives 1
do 1
doctor 1
doing 1
done 1
door 1
down 1
dr 2
drowning 1
during 2
eagerly 1
eating 1
eliminate 1
embarrassed 1
emphasizes 1
ensuing 1
entrusted 1
epilogue 1
estate 1
except 1
exchange 3
exwife 1
face 5
fact 2
failure 1
fatal 1
felon 1
find 2
finds 2
first 1
fishing 1
fix 1
flee 1
fleeing 1
flemm 3
florida 3
for 12
form 1
former 2
fortunately 1
found 1
fraud 1
from 5
front 1
full 1
garcia 4
garth 1
gavigan 1
general 1
george 4
get 3
gift 1
girlfriend 1
gives 1
go 2
goes 1
going 1
gonzalez 3
got 1
gotten 1
graveline 13
great 1
growing 1
gun 2
hack 1
hand 1
harbour 1
has 11
have 3
having 1
he 20
head 1
heart 1
heat 1
heather 2
hed 1
her 5
him 11
himself 2
hired 1
hiring 1
his 21
hit 1
hitman 1
hold 1
holding 1
hollywood 1
home 1
homicide 1
hospital 1
host 1
hostage 1
house 8
however 1
hurry 1
ideal 1
impaling 1
in 21
incompetence 1
inept 1
inevitably 1
inform 1
injury 1
instead 3
insulting 1
interview 2
interviewed 1
intimidation 1
into 3
investigations 1
investigator 1
is 22
isnt 1
jaguar 1
jealous 1
job 6
jog 1
join 1
judge 1
just 1
justice 1
kidnap 1
kidnapped 1
kill 7
killed 2
killing 1
kills 1
kipper 1
knocks 1
knowledge 1
lawyer 1
learning 1
least 1
left 2
lie 1
life 1
liposuction 1
live 1
local 1
locates 1
longer 1
looking 2
low 1
luis 1
lures 1
maggie 11
mainland 1
makes 1
making 1
malpractice 2
man 2
marine 1
marks 1
marlin 1
md 1
means 2
meanwhile 1
meets 1
memory 1
mentions 1
miami 4
mick 14
misdirect 1
mistake 2
mob 2
money 2
morecompetent 1
mortified 1
most 1
murder 3
murdering 1
mysterious 1
named 2
never 2
new 3
newspaper 1
next 1
nicknamed 1
no 4
nose 4
not 1
now 1
numerous 1
nurse 2
objects 1
obnoxious 1
obstruction 1
occasions 1
