28288087
/m/0cn_qq1
/m/0cn_qq1


{"/m/022444": "Polemic"}
a 24
about 2
abrogation 1
access 1
achievement 1
acknowledgement 1
across 1
addicts 1
advances 1
advocated 1
advocates 1
africa 3
after 4
against 1
almost 1
also 2
always 1
an 8
analyses 4
analysing 1
and 40
any 1
appropriation 1
are 3
argues 1
aroused 1
article 2
as 11
asserting 1
assertions 1
asserts 3
assumed 1
attaches 1
attention 2
be 5
been 2
before 1
begins 1
behind 1
being 1
benefit 1
between 2
beyond 1
blighted 1
book 1
boost 1
both 1
britain 1
british 1
brown 1
brutality 2
buckingham 1
bullying 2
but 1
by 10
c 1
called 1
campaign 1
can 1
carried 1
case 1
cases 1
casualty 1
cause 1
certain 1
chamberlain 1
chapter 3
child 1
childish 1
children 2
china 1
chronic 1
cites 2
citing 1
comment 1
commonplace 1
comparison 1
compassion 1
concludes 2
conclusion 1
condition 1
consequences 1
contemporary 1
contends 3
context 1
continent 1
convince 1
country 1
course 1
court 1
crime 1
criminal 2
criticises 1
criticism 1
cultural 1
current 1
currents 1
dalrymple 15
death 1
decreased 1
demand 1
describes 1
descriptions 1
desire 2
destruction 1
dialectic 1
diana 1
disappearance 1
disgusting 1
dishonest 1
dishonesty 1
displays 1
distort 1
does 1
down 1
drabble 1
draw 1
drug 1
economic 1
education 2
educational 2
effect 1
effort 1
emotion 8
emotionality 1
emotions 2
encouraged 1
ends 1
ensure 1
enter 1
environment 1
equatorial 1
even 2
every 1
evidence 2
examines 2
examples 1
exception 1
excess 1
exercise 1
exist 1
existential 1
experience 1
experiencing 1
expressing 1
expression 2
falling 1
false 2
family 1
fate 1
feed 1
field 2
focus 1
for 2
from 1
full 1
gathered 1
genuine 1
girls 1
globe 1
gordon 1
great 1
grief 1
growth 1
guilt 1
guilty 1
guinea 1
had 1
harman 1
harmful 1
harriet 1
has 5
have 2
he 9
hear 1
high 1
him 1
historical 1
history 1
how 3
human 1
humanity 1
ideas 1
if 1
illness 1
illustrate 1
impact 1
improving 1
in 17
including 2
increasing 2
india 1
indicate 1
influence 1
influential 1
inherently 1
intellectual 1
intention 1
interfere 1
interpreted 1
interprets 1
into 2
introduction 1
involving 1
is 19
issue 1
it 5
its 2
itself 1
jacques 1
jean 1
joanne 1
judgment 3
julius 1
jury 1
justice 1
kind 1
kingdom 1
kitsch 1
lack 2
lees 1
leone 1
let 1
lies 1
life 1
lindy 1
link 1
links 1
lives 1
long 1
macias 1
made 3
madeleine 1
mainly 1
maintains 1
manifestation 1
manipulate 1
margaret 1
markets 1
mass 1
mawkish 1
may 1
mccann 1
mean 1
media 4
millions 1
mind 1
minister 1
modern 1
much 1
namely 1
need 1
neglect 1
never 1
newspaper 1
newspapers 1
nguema 1
no 2
not 6
now 3
number 2
nyerere 1
of 40
often 1
on 1
one 3
only 3
or 3
order 1
others 1
our 1
out 1
outcome 1
outcry 1
outside 1
overindulgence 1
overvalued 1
own 1
palace 1
parallels 1
parents 1
part 1
particularly 1
past 1
patron 1
perceived 1
perception 1
perfectly 1
performed 1
perhaps 1
permitted 1
person 2
phenomenon 2
philosopher 2
pinker 1
plath 3
poet 1
policies 1
poverty 2
powerful 1
practical 1
practically 1
precluded 1
preposterouspsychologically 1
primary 1
prime 1
princess 1
priority 1
prison 1
psychologist 1
public 4
punishment 1
queen 1
question 1
questions 1
rather 1
rational 1
react 1
reaction 1
reason 1
receive 1
reductive 1
reform 1
regard 1
regarded 1
result 2
reveal 1
robert 1
rousseau 1
saint 1
sargasso 1
scale 1
sea 1
see 2
selfdramatization 1
selfpity 1
sensibility 1
sentimentalist 1
sentimentality 14
several 1
sheerest 1
should 3
shown 4
sierra 1
significance 1
similar 1
so 1
solomon 1
sovereign 1
standards 3
statement 1
statements 1
states 1
steven 1
stories 1
such 3
suffering 2
suggested 1
superior 1
supremely 1
sylvia 1
sympathy 1
system 2
tabloid 1
takes 1
tanzania 1
than 2
that 31
the 57
then 3
theoretically 1
there 2
therefore 3
these 1
they 1
thing 1
this 5
those 1
thought 1
to 19
trends 1
triumphed 1
twentyfive 1
two 1
uncommon 1
under 2
unendingly 1
united 1
verdict 1
vice 1
victimhood 1
victims 1
view 1
virtues 1
vulnerable 1
was 4
way 1
we 2
were 1
what 2
wherever 1
whether 1
which 3
whom 1
whose 2
willing 1
wishes 1
with 3
without 2
worse 1
writes 2
years 1
