3787889
/m/0b0188
/m/0b0188
Catherine Asaro
2003-03
17yearold 1
a 1
above 1
accomplishing 1
after 3
all 1
an 1
and 4
aristo 1
ascendant 1
ascending 1
assassination 1
attempts 1
beautiful 1
beginning 1
busy 1
carnelian 1
childhood 1
course 1
dangerous 1
death 1
different 1
during 1
dyhianna 1
emperor 1
enslaved 1
escaping 1
eubian 1
events 2
ever 1
face 1
fact 1
fate 1
fellows 1
finance 1
for 1
from 3
goals 1
harmonic 1
has 1
he 3
hide 1
his 3
if 1
iii 1
imperator 1
imperialate 1
in 1
iquar 1
is 3
jaibriol 2
kelric 1
many 1
marrying 1
minister 1
new 1
novel 1
of 7
on 1
overlaps 1
peace 1
pharaoh 1
planet 1
point 2
prizma 1
provider 1
psion 1
radiance 3
radiant 1
revealed 1
rhon 1
seas 1
secret 1
selei 1
several 1
skolian 2
spherical 1
story 1
sun 1
talks 1
tarquine 1
tells 3
that 1
the 10
this 1
throne 1
to 1
tricky 1
valdoria 1
view 2
war 3
which 2
with 2
would 1
