28798311
/m/0dddcwg
/m/0dddcwg
Jack L. Chalker
1983
{"/m/06n90": "Science Fiction"}
13 1
a 46
abilities 1
ability 2
accept 1
accidentally 1
accompanied 1
achieved 1
achieves 1
activities 1
actually 1
adapt 2
adapted 1
adaptive 1
administrator 1
advise 1
after 3
age 1
agent 3
agents 1
ago 1
agrees 1
aid 1
alien 2
aliens 4
all 8
allow 1
allows 1
almost 1
alone 1
already 1
altavar 10
amusement 1
an 5
and 50
any 4
anything 1
apartment 1
approach 1
are 8
arranges 2
arrested 1
as 8
ass 2
assassin 2
assassinating 1
assigned 1
assistants 1
at 6
attacks 1
automatically 1
await 1
awakes 1
back 1
background 1
be 13
became 2
because 1
become 1
been 2
before 1
being 5
beings 1
belief 1
believes 3
better 1
bird 1
bodies 2
body 1
bodyguard 1
boojum 1
book 1
both 2
boy 3
brief 1
bul 2
but 3
by 7
cabal 1
called 1
calls 2
can 5
cannot 1
capture 1
captured 1
carroll 5
caught 2
cease 1
cede 1
centuries 2
change 1
changing 1
charon 1
cite 1
cities 1
city 3
closes 1
cold 1
coldah 3
coldest 1
collapsing 1
command 1
communal 1
complete 3
comprehensive 1
computer 1
confederacy 13
consciousness 1
control 4
controls 1
copied 1
copy 2
could 1
counterproposal 1
create 1
creatures 1
danger 1
day 1
degree 1
demonstrates 1
deny 1
desires 1
destroy 2
destroyed 3
destroying 1
detect 1
developed 1
diamond 3
dies 1
different 1
direct 1
directed 1
directly 1
discover 1
do 4
does 1
down 1
draw 1
drive 1
due 3
during 2
each 1
elders 1
embarks 1
emerges 1
end 1
energylike 1
enhanced 1
enjoy 1
enormous 1
enough 3
escape 2
evacuate 1
even 1
eventually 2
every 1
exhausting 1
explains 1
extreme 1
far 1
farthest 1
father 1
feel 1
feels 1
female 1
fighting 1
final 1
find 3
fine 1
fleet 1
flight 1
fly 1
for 9
force 1
form 2
four 1
from 3
frozen 1
fulfilled 1
full 1
future 1
gain 1
gave 1
generation 1
genetically 1
genocide 1
girl 3
girlfriend 4
give 2
given 3
gives 1
globe 1
go 3
goodtime 2
group 3
groups 1
had 5
hampered 1
hand 1
happens 1
has 4
have 6
he 29
head 1
headed 1
helped 1
her 1
him 10
himself 1
his 19
history 1
holds 1
honoring 1
hope 1
humanhabitable 1
humanity 3
humans 1
hunting 1
if 2
immediate 1
implied 1
in 18
incubators 1
infected 1
information 1
informer 1
inserts 1
intends 1
into 7
introduced 1
involved 1
is 29
it 13
its 2
job 1
just 2
kicks 1
kill 2
killed 2
kills 1
know 1
knowledge 1
known 1
knows 1
league 1
learns 2
left 1
lewis 1
lie 1
life 1
like 1
likely 1
long 3
longer 1
lord 2
lords 1
lowiq 1
loyal 2
major 2
man 1
manages 1
matter 1
may 2
medusa 5
meeting 3
merging 1
might 1
mind 5
mindprinter 1
mindwiped 1
mission 3
mobility 1
momrath 1
monitor 3
moon 1
most 2
motives 1
mr 3
must 2
named 3
names 1
nap 1
nearly 1
never 1
newcomer 1
next 3
no 2
nomads 1
not 5
notes 1
now 2
obviously 1
of 42
off 1
offer 1
offers 1
old 2
on 11
once 1
one 7
ones 2
only 2
oppressive 1
organic 1
organism 1
orientation 1
other 4
out 6
over 2
overdrive 1
overseen 1
overthrow 1
paired 1
parts 1
party 1
peaceable 1
people 5
perfect 1
perhaps 1
picket 1
pilgrims 1
place 1
placed 1
planet 4
planets 3
planetsized 1
plans 2
playing 1
poem 1
point 2
points 1
police 2
pool 1
population 1
position 1
powerful 1
powers 3
prison 1
process 1
program 1
programmed 1
programmer 1
progress 1
promotion 1
proper 1
proposal 1
proposed 1
protect 1
psych 1
purposes 1
put 2
quickly 1
quite 2
race 1
rapport 1
reaching 1
real 1
realizes 2
reasons 1
recruit 1
recruited 3
reference 1
rejected 1
rejecting 1
reluctantly 1
remaining 1
removed 1
renamed 1
report 1
representatives 1
reprisals 1
response 1
revealed 2
revolutionaries 3
revolutionists 1
runs 1
rushes 1
safe 1
same 1
scene 1
second 1
secret 1
seems 2
sees 2
semireligious 1
senses 1
sensitization 1
service 3
sex 2
sexy 2
shape 1
shapeshift 1
shapeshifting 1
she 2
shift 1
shifting 1
shifts 1
shimmer 1
ship 3
shown 1
shuttle 1
side 1
sides 1
slave 2
slept 1
snark 1
so 4
social 2
society 1
solution 1
some 2
space 2
spaceship 1
special 1
specific 1
speculated 1
speculates 1
standing 1
states 1
station 1
still 2
story 1
submit 1
submits 1
subordinates 2
subprogram 2
substance 1
successors 1
such 2
support 2
surprise 1
surprising 1
surveillance 1
swap 1
symbiosis 1
sympathies 1
system 4
take 2
taken 1
takes 1
taking 1
talant 8
tarin 16
technology 1
tells 1
than 1
that 27
the 119
their 5
theirs 1
them 8
themselves 1
then 2
there 3
these 2
they 8
thing 1
this 7
those 2
though 3
thought 1
threat 1
three 6
thus 1
time 2
tms 2
to 57
told 1
tool 1
totalitarian 1
track 1
training 1
transformation 1
transformed 1
transmitter 1
treaties 1
trek 1
tries 1
true 1
tundra 1
turned 1
turns 1
two 2
unconcerned 1
under 1
underground 1
unit 1
unless 1
until 1
unusually 1
unwitting 1
up 3
upon 1
using 2
viewed 1
wakes 1
warden 11
wardens 2
was 1
way 1
week 1
well 2
were 1
what 4
when 5
where 3
which 3
who 17
whose 1
why 1
wild 3
will 9
wipe 1
wiped 1
wish 1
with 13
women 2
working 1
works 1
worlds 8
worship 1
would 1
year 1
years 1
young 1
ypsir 5
