1769647
/m/05vkhk
/m/05vkhk
Ted Hughes
1968
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 11
about 1
admits 1
afraid 1
after 1
alien 2
alive 1
allows 1
an 1
and 9
another 1
appearance 1
appears 1
armies 1
arrived 1
as 4
asked 1
astronomers 1
australia 2
badly 1
bait 1
balance 1
be 1
beauty 1
before 1
behind 1
being 2
boy 2
brings 1
buried 1
burned 1
burning 1
but 1
by 2
came 1
can 2
cause 1
causing 1
challenges 1
charge 1
commands 1
community 1
consisting 1
contest 1
contrast 1
cosmos 1
covered 1
crashes 1
creature 5
defeat 1
deformed 1
demands 1
described 1
destroy 1
destroyed 1
detail 1
devour 1
diggers 1
digs 1
disassembled 1
discover 1
discovery 1
distracts 1
dragon 2
dubbed 1
earlobe 1
earth 4
egocentricism 1
enormous 1
equilibrium 1
equipment 1
excitement 1
experienced 1
farm 2
fears 1
feast 1
feeds 1
fight 1
first 1
flying 1
food 1
for 3
forever 1
free 1
frightening 2
from 3
further 1
game 1
global 1
hands 1
harmony 1
has 2
he 7
hears 1
heat 2
heavily 1
help 1
him 3
himself 2
his 5
hogarth 2
however 1
humanity 3
humans 1
if 2
in 5
inhabitants 1
iron 13
is 8
it 1
its 1
just 1
keep 1
keeps 1
kind 1
land 1
lasting 1
life 1
local 2
locals 1
long 1
longer 2
lures 1
make 1
man 13
melting 1
melts 1
member 1
merely 1
metal 1
monitoring 1
more 1
moving 1
music 2
must 1
new 1
next 1
no 2
not 1
nowhere 1
obey 1
of 16
off 1
on 3
one 1
ongoing 1
only 1
or 2
orbit 1
orders 1
out 1
own 1
pain 1
pains 1
passes 1
peace 2
peaceful 1
permission 1
petroleum 1
physically 1
pit 2
plan 1
playing 1
population 1
produced 1
promises 1
provide 1
remains 1
reveals 1
rounds 1
scrapheap 1
seemingly 1
send 1
sense 1
set 2
show 1
sights 1
sing 1
singer 1
sky 1
so 1
soon 1
soothe 1
sounds 1
space 2
spacebatangeldragon 1
spacebeing 1
spheres 1
spirit 2
spring 1
stable 1
star 2
strength 1
succeeds 1
sun 2
sunset 1
survive 1
takes 1
tendency 1
terrified 1
than 1
that 4
the 52
their 2
this 1
threat 1
time 1
to 18
toward 1
tractor 1
tractors 1
transported 1
trap 2
treated 1
trouble 1
troubles 1
two 1
undergoes 1
unharmed 1
violent 1
warfare 1
was 1
way 1
when 3
where 1
which 1
who 1
whole 1
why 1
with 1
withstand 2
worldwide 1
