27441591
/m/0c02xsd
/m/0c02xsd
Laurie R. King

{"/m/028v3": "Detective fiction"}
124 1
a 4
actively 1
adler 3
after 1
aid 1
allies 1
an 2
ancient 1
and 7
are 2
artist 2
britain 1
british 1
brothers 3
by 1
called 1
children 1
china 1
circle 1
connections 1
conspiracy 1
cult 1
damian 2
daughter 1
deeply 1
each 1
echelons 1
effort 1
emerges 1
energies 1
ensure 1
entrenched 1
estelle 2
expose 1
family 1
fanatic 1
finds 1
for 1
from 1
goodfellow 1
government 1
halfchinese 1
have 1
help 1
her 1
highest 1
him 1
himself 1
his 2
holland 1
holmes 5
human 1
in 5
involves 1
island 1
keep 1
kin 1
led 1
lend 1
life 1
lights 1
mary 3
medical 1
members 1
modernday 1
mycroft 1
near 1
of 6
old 1
on 2
orkney 1
picks 1
plot 1
practitioners 1
process 1
psychic 1
pursued 1
questioned 1
religious 2
robin 1
roots 1
russell 1
ruthless 1
sacrifice 1
safe 1
safety 1
save 1
scotland 1
search 2
seeking 1
seeks 1
shadowy 1
shanghai 1
sherlock 1
shortly 1
shot 1
son 3
standing 1
stones 1
summer 1
suspicion 1
takes 1
the 10
thomas 1
three 1
through 2
to 8
trail 1
travels 1
under 1
unleash 1
up 1
villain 1
while 1
who 1
with 1
yard 1
year 1
