3050187
/m/08n4t2
/m/08n4t2
Robert Ludlum
1995-04-10
{"/m/01jfsb": "Thriller", "/m/0594kx": "Conspiracy fiction", "/m/05hgj": "Novel"}
a 4
after 1
allies 1
and 3
at 1
being 1
biological 1
brother 2
concerns 2
consular 1
correctly 1
covert 1
discover 1
drew 1
europe 1
for 1
french 1
government 1
he 1
high 1
his 2
impersonates 1
its 1
joke 1
killed 1
latham 3
levels 1
members 1
mission 1
must 2
neonazi 1
neonazis 1
of 2
officer 1
operations 1
over 1
plot 2
pronounce 1
running 1
special 1
stop 1
supporters 1
take 1
terrorism 1
the 4
through 1
to 2
unable 1
uncovers 1
us 1
warfare 1
was 1
web 1
who 1
why 1
with 1
