23249033
/m/065zbk5
/m/065zbk5
Desmond Bagley
1971
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 3
agent 2
an 1
and 3
assignment 1
british 1
comes 1
criminals 1
deadly 1
double 1
facetoface 1
for 1
gang 1
gaolbreaking 1
government 1
have 1
he 1
him 1
his 1
is 1
killers 1
leads 1
liberated 1
life 1
longterm 1
malta 1
must 1
new 1
notorious 2
of 2
on 1
organise 1
outwit 1
own 1
prisoners 1
recently 1
russian 1
ruthless 1
save 1
scarperers 1
sent 1
slade 1
snare 1
the 3
them 1
these 1
they 1
to 3
trail 1
where 1
who 1
whom 1
with 1
