747561
/m/037zx8
/m/037zx8
Michael Breault

a 4
adventure 1
adventurers 2
adversary 1
and 4
are 4
area 1
bane 1
be 1
book 1
boss 2
but 1
by 1
cadorna 1
castle 1
characters 2
city 1
clues 1
comes 1
computer 1
contains 1
controlling 1
core 1
defeat 1
description 1
detailed 1
district 1
each 2
end 1
evil 1
few 1
fictional 1
forces 1
forgotten 1
form 1
four 1
from 1
game 2
gate 1
graveyard 1
have 1
hear 1
him 2
hired 1
house 1
in 4
include 2
island 1
keep 1
killing 1
kovel 1
kuto 1
library 1
linked 1
locations 3
mansion 1
mantor 1
map 1
miniscenarios 1
monsters 1
nonplayer 1
numerous 1
of 8
out 1
outpost 1
own 1
phlan 3
plaza 1
podol 1
pool 1
pregenerated 1
prepared 1
presumably 1
proves 1
quite 1
radiance 1
realms 1
remove 1
ruined 1
ruins 1
rumor 1
scenarios 1
seek 1
set 1
slum 1
solution 1
sorcerer 1
stats 1
stojanow 1
temple 1
textile 1
that 1
the 11
their 1
them 2
there 3
these 2
they 1
this 2
to 3
town 1
valhingen 1
valjevo 1
various 1
well 1
with 1
worthy 1
zhentil 1
