30363390
/m/0g5s85b
/m/0g5s85b
Douglas Coupland
2010-10
20000 1
a 25
accept 1
actions 1
actually 1
airport 4
alcoholic 1
among 1
an 4
and 26
approaches 1
arrives 1
arriving 1
as 8
assertive 1
assistant 2
at 7
autism 1
back 1
badly 1
bar 4
barricade 1
bartender 2
become 1
been 1
bertis 1
book 1
breeds 1
burns 1
business 1
but 1
by 3
camelot 1
can 2
chaos 1
chapter 4
chapters 1
character 1
characters 3
chemical 3
child 1
church 2
circumstances 1
combined 1
comments 1
computer 1
conditions 2
consider 1
covertly 1
crawl 1
cue 1
cues 1
daffy 1
date 2
daughter 2
describing 1
discovers 1
disembodied 1
distant 1
divided 2
divorced 2
drinking 1
duck 1
dumpsters 1
during 1
dynamics 1
each 2
empowerment 2
enroll 1
enters 1
epilogue 1
eternity 1
events 2
exist 1
expectation 1
explains 1
explosions 1
fail 1
faith 1
fallout 2
fanatic 1
fates 1
father 2
final 3
finds 1
first 1
five 4
flaming 1
fled 1
flees 1
flight 2
forum 1
four 1
freemont 5
from 7
future 1
general 1
get 1
gives 1
god 1
goes 1
group 3
gun 1
guru 2
has 2
have 1
he 5
hello 1
help 1
her 3
his 6
hole 1
hotel 3
hour 4
humour 1
in 11
inability 1
increase 1
inside 1
intellectually 1
into 4
irony 1
is 15
karen 10
killed 1
lab 1
labeled 1
land 1
lead 1
leaves 1
leslie 6
life 1
listen 1
little 1
lives 1
lost 1
lounge 3
luke 7
main 1
man 4
manages 1
max 1
meanwhile 1
meet 4
met 2
metaphors 1
mice 1
money 2
monster 1
mother 1
motivations 1
my 1
name 1
nipissing 1
normal 1
occur 1
occurring 1
of 11
office 1
oil 1
on 6
one 7
online 2
ontario 1
operated 1
operates 2
or 1
other 1
outside 1
over 1
overpower 1
panics 1
parents 1
part 1
parts 1
past 1
pastor 1
perspective 1
phone 1
photos 1
physically 1
player 3
pointofview 1
power 2
pregnant 1
present 1
prices 1
prisoner 1
program 3
prosopagnosia 1
prove 1
provide 1
psychiatrist 1
psychological 2
quickly 1
rachel 9
radio 1
rapidly 1
receptionist 1
recovering 1
religion 1
religious 1
retreat 1
return 1
revealing 1
rick 10
rioting 1
roof 2
run 1
runs 1
saving 1
scheduled 1
scotch 1
seeks 2
selfhelp 2
seminar 1
sex 1
shafts 1
she 6
shelter 1
shoots 1
sits 1
sitting 1
sniper 7
social 1
son 3
spectrum 1
speech 1
start 1
starts 1
stating 1
stole 1
stool 1
stumbles 1
suffering 1
system 1
table 1
take 1
taken 1
takes 1
tara 2
teenager 2
teenagers 1
tells 1
tend 1
terminal 1
that 4
the 49
their 2
them 1
themselves 1
there 1
they 2
this 1
three 1
through 1
to 27
told 1
too 2
toronto 4
travels 1
tries 1
understand 1
unreliable 1
upon 2
vehicle 1
ventilation 1
view 1
voice 1
wants 1
warren 3
watches 1
welcome 1
well 1
what 2
where 1
which 1
who 11
whom 1
winnipeg 2
with 5
woman 1
works 1
wounds 1
young 1
zeppelin 1
