22498886
/m/05zqjvb
/m/05zqjvb
Walter Mosley

a 6
abandons 1
abnormally 1
abortion 1
actions 1
adonis 1
affairs 1
after 5
ahn 1
also 1
an 3
and 6
apart 1
are 1
as 2
attracting 1
beerman 1
being 1
birth 2
born 1
both 1
branwyn 3
build 1
but 1
by 2
cared 1
child 1
children 1
college 1
complications 1
confronts 1
consequences 1
dealing 1
defiance 1
died 1
different 1
dire 1
dr 1
drugs 1
due 2
eke 1
elton 3
eric 4
every 1
existence 1
faced 1
falls 1
for 2
forced 1
friendship 1
given 1
gives 1
giving 1
goes 1
had 1
hands 1
has 1
he 1
head 1
heart 1
her 4
his 2
hole 1
home 1
hospital 3
however 1
husband 1
in 7
is 5
jail 1
large 1
later 2
leaving 1
living 1
love 1
lung 1
minas 1
named 1
names 1
nanny 1
no 1
nolan 1
nordic 1
of 3
one 1
out 1
paediatrician 1
perishes 1
pleasant 1
problems 2
prognosis 1
refuses 1
respect 1
returns 1
reunite 1
roof 1
sent 1
she 3
slums 1
solve 1
soon 1
state 1
status 1
strong 2
surgeon 1
survives 1
takes 2
the 6
their 2
they 3
thomas 7
to 7
together 1
trouble 1
trueblood 1
turn 1
under 1
unmarried 1
vietnamese 1
while 3
white 1
whom 1
whose 1
wife 1
with 4
women 1
worse 1
years 1
