24571596
/m/080dhnk
/m/080dhnk
Siegfried Lenz
1968
a 4
an 3
and 4
art 1
as 1
based 1
be 1
believes 1
beyond 1
bodies 1
brings 1
brother 1
by 3
carry 1
center 2
childhood 2
come 1
compelled 1
confiscated 1
continues 1
danger 1
debar 1
deformed 1
describes 1
detention 2
discovers 1
does 1
doings 1
during 1
dutifully 1
duty 4
emil 1
end 1
essay 4
even 1
expressionist 1
eyes 1
faces 1
far 1
father 5
feels 1
filling 1
firstperson 1
following 1
for 2
forced 2
former 1
friend 1
from 1
germany 2
goes 1
green 1
gudrun 1
hamburg 1
he 2
hide 1
hilke 1
him 1
his 14
in 7
inmate 1
interned 1
into 1
is 3
jens 1
jepsen 6
joy 2
juvenile 2
klaas 1
knowledge 1
later 1
lenz 1
makings 1
manages 1
max 2
memories 1
mongol 1
most 1
mother 1
nansen 3
narrator 1
nazi 1
nazis 1
nolde 1
nonetheless 1
northerly 1
notebooks 1
novel 1
of 9
officer 2
old 1
ole 1
on 2
orders 1
out 1
painter 3
paintings 3
police 2
position 1
profession 1
pursued 1
reinstalled 1
safety 1
several 1
short 1
siggi 9
sister 1
some 1
surface 1
task 1
term 1
that 1
the 19
theft 1
themed 1
then 1
these 1
this 1
time 1
to 8
turns 1
when 1
where 1
while 1
whom 1
without 1
write 2
writing 1
wwii 1
youth 1
