2456353
/m/07fd15
/m/07fd15
John Updike
1960-11-12
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
26 1
a 18
abandons 1
abortion 1
about 1
accident 1
accidentally 1
accuses 1
advance 1
affair 1
after 2
again 1
aloof 1
although 1
an 3
and 19
angrily 1
angstrom 1
apartment 3
as 2
at 6
attempt 3
attempted 1
attends 1
baby 1
back 1
basketball 2
bath 1
be 1
becomes 1
been 1
befriends 1
begin 1
believes 1
birth 1
book 1
brewer 1
by 2
calls 1
characters 1
church 1
coach 1
coerces 1
coffee 2
come 1
concludes 1
condition 1
conflicts 1
corrupt 1
course 1
daughter 3
day 1
death 2
decides 1
declines 1
departure 1
dinner 1
discover 1
distraught 1
divorce 1
does 1
door 1
drive 1
drowns 1
drunk 1
dry 1
during 2
eccles 4
empty 1
encourages 1
enraged 1
episcopal 1
escape 1
except 1
exist 1
external 1
family 3
fate 1
feeling 1
fellatio 1
finding 1
finds 1
fling 1
for 3
former 1
from 2
funeral 1
futile 1
gadget 1
gather 1
get 1
gets 1
getting 1
girls 1
grasp 1
graveyard 1
had 2
happened 1
happy 1
harrison 1
harry 21
has 6
have 3
having 1
he 17
her 12
high 2
him 5
his 17
home 6
hospital 1
hotel 1
house 1
how 1
however 1
humps 1
immediately 1
in 14
innocence 1
instead 1
internal 1
interprets 1
into 3
invitation 2
is 11
jack 2
janice 8
job 1
judge 1
june 3
kitchen 1
labor 1
later 2
learn 1
learns 3
leave 1
leaves 2
leonard 1
life 2
like 1
live 1
local 1
looking 1
lost 2
lucy 1
magipeeler 1
main 1
marriage 1
married 1
marty 1
middleclass 1
minister 1
misreading 1
missing 2
moment 1
mood 1
morning 2
mount 1
moves 2
named 3
nelson 1
nemesis 1
new 1
news 1
next 1
night 4
nonetheless 1
not 3
novel 2
of 11
old 1
on 3
one 2
other 1
parents 2
parttime 1
pennsylvania 1
performing 1
postnatal 1
pregnant 1
pressures 1
priest 1
probably 1
proclamation 1
prostitute 2
punches 1
pursued 1
rabbit 1
rebecca 3
received 1
reconcile 2
refuses 1
relationship 1
relieved 1
remains 1
result 1
resume 1
return 2
returns 5
reunited 1
reverend 2
ronnie 1
runs 1
ruth 8
salesgirl 1
same 1
school 2
see 1
selling 1
sex 1
sexual 1
shares 1
she 5
slams 1
something 1
somewhat 1
son 1
soon 2
south 1
spends 1
spite 1
spur 1
star 1
stating 1
still 2
store 1
suburb 1
sudden 1
suggests 1
that 7
the 26
their 1
then 3
they 1
thing 1
this 1
though 1
time 1
to 20
tothero 3
town 1
treating 1
tries 1
tub 1
two 1
twomonth 1
twoyearold 1
unaware 1
uncertain 1
unsatisfying 1
until 2
unwilling 1
visit 1
visits 2
walking 1
wanting 1
way 1
what 1
when 2
where 1
whiskey 1
whom 1
wife 4
with 8
worked 1
would 1
yet 1
