11769978
/m/02rrndf
/m/02rrndf
Paulo Coelho

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 6
am 1
and 4
angels 1
answers 2
arise 1
as 2
at 1
athena 2
becomes 1
begins 1
book 2
both 1
but 1
child 2
classical 1
contented 1
controversial 1
creates 1
dead 1
ease 1
ended 1
experiences 1
find 1
grows 1
has 1
heart 1
her 4
herself 1
how 1
i 1
impresses 1
in 3
into 1
intoxicating 1
intrigue 1
is 2
khalil 1
leader 1
life 1
london 1
many 2
mind 1
not 1
of 2
opens 1
out 1
parents 1
person 1
powers 1
quest 1
question 1
questions 1
religious 1
renames 1
reports 1
saints 1
search 1
seeing 1
sets 1
she 6
sherine 1
shows 1
so 1
spiritual 1
strong 1
sustaining 1
that 2
the 5
through 1
to 4
up 1
vocation 1
way 1
which 1
who 1
within 1
woman 1
worries 1
