8406198
/m/02729m4
/m/02729m4
Lindsey Davis
2005
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 8
action 1
advised 1
after 1
ago 1
aid 1
albia 1
also 1
ancient 1
and 21
angry 1
another 2
answers 1
apprehended 1
aquillus 1
are 3
area 1
around 1
arriving 1
as 3
at 10
athens 4
athletes 1
athletic 1
attacked 1
aulus 6
authorities 1
away 1
back 2
be 3
been 3
before 2
behind 1
being 1
better 1
between 1
blamed 1
both 1
brotherinlaw 1
but 4
by 8
capturing 1
circumstances 1
clues 1
come 1
company 1
confidence 1
confronted 1
connected 1
connection 1
corinth 5
course 1
currently 1
dead 1
death 3
deaths 2
deceased 1
deduced 1
defeated 1
dejected 1
delphi 4
deputy 1
details 1
died 1
disappears 1
discovering 1
do 1
does 1
dubious 1
during 1
eventually 1
evidence 1
extremely 1
falco 13
fearing 1
female 1
finally 2
flees 1
followers 1
for 3
forced 1
former 1
formidable 1
fortunately 1
found 2
freed 1
from 1
funds 1
gets 1
girl 1
glaucus 2
go 1
governing 1
government 1
governor 1
greece 5
group 1
guilt 1
had 2
harassed 1
has 3
have 4
he 1
hears 1
helena 3
her 1
his 8
hosting 1
however 2
in 9
included 1
inept 1
inexperienced 1
instead 1
interested 1
investigating 2
investigation 1
is 10
itself 1
joined 1
killer 4
later 1
law 2
lawyer 1
leave 1
lebadeia 2
legal 1
less 1
locals 1
look 1
lose 1
low 1
macer 1
managed 1
married 1
may 2
meet 2
member 1
men 1
mentor 1
methods 1
minas 3
missing 1
mission 2
more 1
much 1
murder 1
murdered 1
mystery 1
named 1
nephews 2
newly 1
next 1
no 1
not 4
now 1
objectives 1
occurred 1
of 10
off 1
offers 1
olympia 6
on 4
one 1
operating 1
operators 1
oracle 2
original 1
out 1
party 7
passing 1
persuade 1
phineus 2
playing 1
polystratus 3
potential 1
prepared 1
properly 1
proven 1
provided 1
proving 1
quaestor 1
real 1
remains 1
reputation 1
return 1
revealing 1
roman 3
run 1
rush 1
same 1
school 1
seeing 1
seek 1
seeking 1
send 1
seven 4
sexually 1
sights 5
smoothly 1
solve 1
statianus 1
stew 1
still 1
stratianus 3
studying 2
suspect 1
suspicious 1
that 4
the 33
their 1
then 1
there 1
things 1
this 1
threaten 1
three 1
through 2
time 1
to 20
too 1
tour 4
tours 1
trace 1
trained 1
training 1
travel 2
travellers 1
travelling 1
trophonius 1
truant 1
tullis 1
turns 1
two 3
unmasked 1
unwilling 1
up 2
valeria 3
ventidia 1
victim 1
ward 1
wayward 1
well 1
where 1
which 2
while 1
who 5
widower 1
wife 1
with 2
without 1
women 3
world 1
worse 1
would 1
years 1
young 1
