5355263
/m/0dh2c2
/m/0dh2c2
Ian Rankin
1993
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
150s 1
45 1
a 42
able 1
about 6
accommodation 1
accounted 1
accuses 1
action 1
activities 1
actually 1
admit 1
admits 3
advises 1
aengus 12
after 9
against 1
ago 4
agrees 1
aimed 1
aitken 1
alcohol 2
alcoholic 1
all 2
also 4
although 3
always 1
amongst 1
an 9
and 24
andrew 1
annoyed 1
another 1
any 1
anything 3
apparent 1
appear 1
appeared 1
approaches 1
are 3
argued 1
arguments 2
arm 2
armed 1
army 1
around 1
arranges 1
arrested 3
arrests 1
as 11
asking 1
assailant 1
assistant 2
at 12
attack 1
attacked 2
attacking 1
attempt 1
attending 1
autopsy 2
available 1
back 2
badly 1
bait 1
be 5
because 1
becomes 1
been 5
before 3
began 1
behind 2
being 5
belonged 1
berserk 1
big 1
black 5
blind 1
bloodsplattered 1
body 5
book 6
bookmaker 2
borders 1
bought 1
boxroom 1
brewing 1
brian 9
bridge 1
broken 2
brother 3
brothers 4
bruhead 1
burn 1
burned 3
business 3
but 8
buy 2
by 5
cafe 5
cafferty 15
calder 4
camera 1
can 1
cannot 1
car 2
carpark 1
case 1
cases 1
catches 1
catholic 1
caught 1
causing 1
central 9
certain 1
chapter 1
cheating 1
checked 1
checking 1
chef 2
chief 2
child 1
church 1
claims 1
clarke 1
clear 1
clearly 1
closer 1
colleague 1
colleagues 1
colt 1
coma 1
come 2
command 1
committed 1
concrete 1
condition 1
confesses 1
confirmed 1
confrontation 1
confronted 1
confronts 1
consciousness 1
constable 1
contacts 1
continued 1
cope 1
corpse 1
cowdenbeath 2
cracked 1
criminals 1
cryptic 1
curt 2
customers 3
day 4
deceased 2
decides 4
deek 6
demanding 1
demands 3
despises 1
despite 1
detail 1
detective 1
determined 1
dinner 1
disappeared 2
discovers 1
discuss 1
discusses 1
do 1
doctor 1
does 3
doesnt 1
down 4
dr 2
drink 1
drinker 1
drinking 1
drunk 2
drunken 1
duddingston 1
due 1
dull 1
dundee 1
during 1
duty 1
eck 3
eddie 20
edinburgh 3
effort 1
elderly 1
elvis 1
elvisthemed 1
employees 1
enemies 1
enters 1
enthusiast 1
entry 2
even 1
evidence 2
examination 1
exchange 1
execute 1
explanation 1
extra 1
false 1
family 1
farm 1
farmer 1
father 1
favourite 1
fearing 1
feels 1
few 1
fife 1
fill 1
film 1
final 2
finally 1
findings 1
finds 3
fingerprints 1
fire 10
first 1
five 2
flat 5
flies 1
following 1
for 12
force 1
forced 2
forcing 2
forth 1
found 3
friend 4
from 6
front 1
funeral 1
furious 1
gambler 1
game 3
gas 1
gay 1
general 1
ger 1
gerald 1
get 3
getting 2
gibson 6
girlfriend 2
giving 1
go 2
goes 2
good 1
grim 1
grisly 1
guilty 1
gun 4
had 7
hand 1
handgun 2
hands 2
hanging 1
happened 4
hardline 1
has 10
have 3
having 4
he 28
head 1
hear 1
heart 1
heartbreak 5
heavy 1
heir 1
help 2
helped 2
her 1
hide 2
hides 1
hiding 1
him 10
himself 3
his 30
holmes 3
home 3
hospital 2
hotel 8
hours 2
however 3
hurting 1
if 1
immediate 1
in 35
influence 1
information 1
injuries 1
inside 2
insists 2
inspector 1
instead 1
interest 2
interesting 1
interviews 1
into 7
involved 1
is 22
it 8
jail 1
journal 2
just 3
kept 1
keys 1
kitchens 1
knocked 1
know 2
known 1
knows 1
later 2
lauderdale 1
leader 1
learns 1
leave 2
leaves 1
leaving 1
left 3
legs 1
leniency 1
leonards 1
list 2
little 4
liver 1
living 2
loathing 1
locks 1
long 1
look 1
luck 1
making 2
man 1
mansion 1
matthew 1
may 2
mcphail 2
meanwhile 3
medical 1
meets 3
men 1
mentions 1
michael 4
might 1
minutae 1
misses 1
missing 1
molester 1
moneybags 5
moneylenders 1
moonlighting 1
morris 1
motive 1
mouth 1
mulling 1
murder 1
mutual 1
mysterious 1
name 2
names 2
national 1
need 1
needs 1
nell 2
never 1
new 2
news 2
next 1
nicknames 1
night 9
none 1
north 1
not 1
note 1
notebook 1
number 1
obscure 1
of 40
off 2
official 1
offshoot 1
old 4
on 10
once 1
one 8
only 1
open 1
operation 7
options 1
or 1
out 11
outside 1
oven 1
over 1
overseeing 1
own 1
owned 1
owns 1
pair 1
particular 1
partner 1
party 1
past 2
pat 5
pathologist 1
patience 1
people 2
persistent 1
person 1
personally 1
pictures 1
place 1
players 1
poker 4
police 1
priest 2
problem 1
problems 1
process 1
protection 1
prove 1
pub 1
pubs 1
put 1
putting 2
queensferry 1
rage 1
raided 1
rail 1
rallies 1
ran 1
rather 1
reads 1
real 1
realises 2
rebus 49
receives 1
recognise 1
recognises 1
records 1
recovered 1
recovers 1
recruit 1
redhanded 1
refers 2
reformed 1
relatively 1
remains 2
remember 2
remembering 1
remembers 1
rendered 1
report 1
reservations 1
restaurant 4
results 1
returned 1
returning 2
returns 3
revealed 1
reveals 4
ringan 6
robertson 6
safely 1
safety 1
same 2
says 1
scene 2
scottish 1
sea 1
seedy 1
seek 1
serious 1
service 1
set 2
several 1
shady 1
shag 2
she 6
shed 1
shield 1
shock 1
shooter 2
shooting 2
shorthand 1
shot 2
since 2
siobhan 6
sketches 1
sleep 1
small 1
smelling 1
snippets 1
so 1
sofa 1
some 1
something 2
sometime 1
spends 1
st 1
staff 1
stage 1
stapleton 2
started 1
starting 1
station 1
still 2
sting 1
stops 1
storming 1
strange 1
students 1
suffered 1
suggests 2
suicide 3
superintendent 1
superior 1
superiors 1
supervising 1
surrender 1
surveillance 4
suspect 1
suspects 1
suspended 1
suspicion 1
suspicions 1
suspicious 2
swing 1
sword 1
take 1
taken 1
taking 1
talk 1
talks 1
tam 4
teams 1
tell 1
telling 1
tells 1
tense 1
terrified 1
testify 1
that 31
the 117
them 2
then 1
there 5
they 3
this 1
those 1
though 1
thought 1
throat 1
through 1
throw 1
time 3
tipped 1
to 56
today 1
told 1
took 1
torrance 5
touch 1
trap 1
trying 1
turns 4
twelve 1
twentyfour 1
two 2
unconscious 1
undaunted 1
under 2
unidentified 2
unwitting 1
up 5
upmarket 1
used 6
uses 1
vanderhyde 3
visiting 1
visits 3
walks 1
warned 1
