14798605
/m/03gybz9
/m/03gybz9
Noah Gordon

{"/m/02xlf": "Fiction"}
142 1
15yearold 1
a 3
across 1
and 2
antijewish 1
are 1
been 1
behind 1
both 1
brother 1
by 1
celebrated 1
church 1
community 1
converted 1
culminating 1
donkey 1
edict 1
entire 1
escape 1
expulsion 1
family 1
fate 1
father 1
feeling 1
forced 1
from 1
generations 1
grip 1
growing 1
has 3
have 1
he 2
his 3
homes 1
however 1
in 2
inquisition 1
is 2
jew 1
jewish 1
journeys 1
leave 1
left 1
lost 1
manhood 1
many 1
members 1
moise 1
named 1
not 1
of 3
on 1
remaining 1
royal 1
silversmith 1
spain 2
spanish 1
sponsored 1
that 1
the 7
their 1
those 1
to 4
toledano 1
troubles 1
year 1
yonah 1
