5670379
/m/0dz916
/m/0dz916
Lurlene McDaniel
1997-07
18yearold 1
a 6
about 1
accepts 1
acquainted 1
after 1
afterward 1
already 1
although 1
an 2
and 11
april 9
arent 1
as 4
avid 1
balloon 1
becomes 1
been 2
begins 2
better 1
blackouts 1
book 1
born 1
boyfriend 1
brain 1
breaking 1
but 2
by 1
car 1
case 1
child 1
chris 2
class 1
crash 1
croix 2
cystic 1
date 1
declines 1
develops 1
dies 1
do 1
doctor 1
done 1
driving 1
during 2
ends 2
english 1
enters 1
even 1
eventually 2
fall 1
fan 1
fibrosis 1
fiveyearold 1
flips 1
for 6
forever 1
from 2
gianni 1
go 1
had 2
has 4
he 6
headaches 1
her 6
his 1
hospital 2
hugh 1
idea 1
ignites 1
in 7
inoperable 1
intends 1
interested 1
is 4
janice 1
lancaster 2
love 1
mark 7
marry 1
match 1
needs 1
news 1
of 3
offer 1
once 1
out 3
over 2
parents 2
passed 1
pneumonia 1
proposes 1
race 1
racing 1
radiation 1
reconcile 1
recurrence 1
red 1
relationship 1
releases 1
sequel 1
she 6
shortly 1
since 1
soon 1
st 2
start 1
suffering 1
suffers 1
survives 1
tells 1
testing 1
that 3
the 12
their 1
they 1
this 1
thrilled 1
time 2
to 7
told 1
treatments 1
tumor 1
two 1
vacation 1
very 1
was 1
who 1
with 3
worse 1
