11457191
/m/02rdf08
/m/02rdf08
Jack McDevitt
2005
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
000 1
10000 1
a 8
abandoned 1
active 1
adventure 1
after 1
alex 3
an 2
and 6
approached 1
approximately 1
archaic 1
as 2
ascertain 1
asks 1
back 1
bases 1
begin 1
begins 1
benedict 1
biggest 1
brink 1
brought 1
built 1
but 1
by 3
century 1
chase 2
civilization 1
colony 3
countless 1
cup 3
day 1
death 1
deserted 1
discover 2
discovery 1
earth 1
ends 1
establishing 1
examination 1
excitement 1
expanded 1
explorers 1
faction 1
fasterthanlight 1
finding 1
first 1
fleeing 1
found 1
free 1
from 1
future 1
get 1
has 1
high 1
him 1
his 1
hopes 2
idea 1
in 5
indicate 1
inhabit 1
insight 1
involving 1
is 3
it 1
items 1
kept 1
known 1
kolpath 1
location 1
longforgotten 1
luck 1
made 1
manned 1
margolia 1
margolians 1
mysterious 1
new 1
of 15
off 1
old 1
one 1
partner 1
present 1
records 1
relic 1
remains 1
retracing 1
riddled 1
route 1
search 1
secret 1
seeker 3
set 2
several 1
ship 1
society 1
some 1
space 1
spacearcheology 1
spacecraft 1
specialize 1
story 1
strange 1
succeeded 1
symbols 1
take 1
that 2
the 20
their 1
them 1
thenoppressive 1
these 1
they 5
this 2
thus 1
to 5
type 1
universe 1
unknown 1
valuable 1
value 1
vehicles 1
voyages 1
was 2
were 1
where 1
which 1
who 3
will 1
with 3
woman 1
world 2
worlds 1
year 1
years 1
