25062376
/m/05zl6np
/m/05zl6np
Kate Cary
2010-03-24
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 8
about 3
after 2
all 1
allowed 1
along 1
and 14
another 1
anyone 1
are 3
as 2
at 1
attack 2
back 2
battle 3
because 1
before 3
beginning 1
begins 1
behind 1
believe 1
believes 2
blossomfall 1
blossompaw 1
book 1
breathe 1
breezepelt 1
briarlight 1
briarpaw 5
brought 1
bumblepaw 1
bumblestripe 1
but 3
camp 1
can 1
cat 2
cats 2
chest 1
clan 1
cough 1
crucial 1
dark 1
days 1
deadly 1
death 2
decide 1
decides 1
delivers 1
deprives 1
develop 1
die 1
doubts 1
dovepaw 2
dream 1
dreams 1
during 1
eating 1
edge 1
end 1
endangered 1
evacuate 1
eventually 1
exercise 1
fall 1
falls 1
finds 1
firestar 8
for 3
forest 1
from 4
get 1
give 1
giving 1
goes 2
had 3
harder 1
has 2
have 1
hawkfrost 2
he 3
help 1
her 5
him 2
hind 1
his 3
hollow 1
hollyleaf 1
however 1
in 2
infection 1
information 1
invading 1
is 5
it 3
ivypaw 4
jayfeather 2
jealous 1
keep 1
keeping 1
killed 1
killing 1
kills 1
kin 1
knows 1
lack 1
land 1
last 1
leader 2
leafpool 1
legs 1
leopardstar 1
let 1
life 2
lionblaze 3
littlecloud 1
longtail 3
looks 1
loses 1
make 1
manage 1
many 1
misery 1
mistyfoot 1
mouse 2
mousefur 1
moves 1
names 1
near 1
never 1
not 4
occurred 1
of 11
on 2
other 1
out 1
own 2
paralyzed 1
perhaps 1
piece 1
place 1
pretending 1
problem 1
prophecy 1
rain 1
refusing 1
result 1
reveal 1
reveals 1
riverclan 2
russetfur 1
same 2
secrets 1
see 1
senior 1
senses 1
seventh 1
shadowclan 3
she 4
should 1
starclan 3
starts 1
stays 1
still 1
strip 1
suspected 1
takes 1
teaches 1
tell 1
tells 3
territory 1
that 10
the 21
their 1
them 1
then 1
they 5
three 2
thunderclan 2
tigerstar 2
to 13
too 1
trained 1
training 2
tree 2
up 1
upon 1
visit 1
vows 1
warns 1
warrior 1
warriors 1
was 1
way 1
we 1
weak 1
what 1
who 1
with 2
