31952160
/m/0gvsq26
/m/0gvsq26
Lisa See

{"/m/05hgj": "Novel"}
a 22
able 1
about 3
after 1
age 1
all 2
almost 1
already 1
also 2
although 1
always 1
an 2
and 33
angeles 1
anger 1
another 1
are 3
art 2
artist 4
artistic 1
as 6
at 5
away 1
be 5
because 4
becomes 1
been 1
before 1
believe 1
biological 1
bite 1
boarder 1
bond 1
born 2
both 1
brings 1
but 1
by 4
can 4
cant 1
chairman 1
chance 1
change 1
character 3
china 1
chinatown 1
chinese 1
circumstances 1
close 1
collecting 1
collective 3
coming 1
constantly 1
context 1
country 1
courage 1
courageous 1
danger 1
daughter 2
daughters 1
day 2
death 4
demons 1
describes 1
desperate 1
desperately 1
despite 1
destiny 1
developing 1
devoted 1
devotion 1
dies 1
difficulty 1
do 1
dodges 1
does 3
dog 6
dragon 7
dreams 3
driven 1
dun 1
duty 1
dying 1
earning 1
easiest 1
end 4
endures 2
enduring 1
enthusiastically 1
entire 2
especially 1
even 2
every 1
everything 1
exorcise 1
experience 1
experienced 1
experiences 1
faced 1
false 1
familiar 1
farm 1
fate 1
fates 1
father 3
filled 1
find 3
finding 1
finds 1
first 1
flowed 1
for 7
forced 1
form 1
found 2
four 2
frequently 2
friendship 2
from 3
gifts 1
girls 3
give 1
giving 1
go 2
goals 1
goes 1
good 1
granddaughter 3
grins 1
grow 1
growing 1
growth 1
guilt 1
hard 3
hardship 1
has 4
hastily 1
hasty 1
have 1
he 4
her 28
herself 2
him 1
himself 1
his 8
home 2
hopping 1
horns 1
however 1
husband 2
i 2
identity 2
if 2
impulsive 1
in 14
indifferent 1
individualistic 1
influences 1
inner 1
into 2
is 18
it 5
ive 1
join 1
joy 17
joys 2
judges 1
just 2
keeps 1
kind 2
knew 1
leaps 1
leaves 1
letters 1
life 3
like 1
little 1
lived 1
living 2
los 1
love 6
lying 1
main 1
makes 2
mama 2
man 1
mao 1
marriage 1
marries 1
matter 1
may 7
mistakes 1
money 1
most 1
mother 4
motherhood 1
much 1
narrator 1
narrators 1
nature 1
nave 1
never 1
nevertheless 1
new 2
no 1
not 1
novel 3
now 1
of 21
offstage 1
old 1
only 4
or 1
organized 1
out 2
over 2
painful 1
papers 1
particularly 1
passionate 1
patience 1
pearl 14
pearls 1
peasant 1
peasants 1
poor 1
power 1
present 1
professor 1
punishment 1
pursues 1
pursuit 1
question 1
quickly 1
rabbit 2
radiant 1
rash 1
rather 1
reach 1
reaffirmation 1
reconnect 1
refusal 1
relationship 1
requires 1
right 1
rises 1
role 1
romantic 1
said 1
sam 1
samantha 2
sams 1
save 1
second 1
sections 1
see 4
seeking 2
sees 1
selfsacrifice 1
sends 1
shanghai 5
she 11
sheep 1
shes 1
shouldnt 1
signs 1
sister 1
so 4
society 1
speaks 1
standard 1
state 1
step 1
storm 1
story 1
streak 1
strengths 1
stubborn 1
subversive 1
such 3
suffering 2
surviving 1
tame 1
tao 6
teach 1
tell 1
tempestuous 1
tendencies 1
terrible 3
that 2
the 42
there 1
things 2
this 2
through 5
throws 1
tiger 2
to 31
tormented 1
trials 1
true 1
trust 2
trying 1
turn 1
turns 1
typhoon 1
understand 1
unfortunately 1
unlike 1
up 3
vern 2
view 1
village 2
violent 1
was 4
watch 2
weaknesses 1
wear 1
were 1
western 1
what 3
when 2
where 1
which 2
who 2
will 3
willing 1
with 10
wonder 1
wonderful 1
words 1
work 1
write 2
writer 1
written 1
years 1
you 7
young 1
youre 1
zg 6
