23344986
/m/06w4qwq
/m/06w4qwq
Alyson Noel

a 6
abilities 1
able 1
accident 1
ago 1
along 1
an 1
and 4
as 1
attracts 2
auguste 1
aura 1
auras 1
been 1
bloom 1
book 1
but 1
can 1
cannot 2
contents 1
damen 2
died 1
do 1
even 1
ever 2
freak 1
from 1
girl 1
gorgeous 1
has 3
he 1
her 4
his 1
history 1
in 1
is 3
know 1
known 1
little 1
long 1
mexico 1
new 1
no 1
normal 1
not 1
of 1
parents 1
people 1
person 2
psychic 1
read 2
riley 1
school 1
see 1
she 3
since 1
sister 1
sweet 1
that 3
the 1
things 1
thoughts 2
throughout 1
to 1
touch 1
transfers 1
until 1
visible 1
what 2
with 2
