26728770
/m/0bm9mjn
/m/0bm9mjn
Cynthia Ozick
2008
10000 1
11000 1
130s 1
15000 1
8000 1
a 9
about 4
actor 2
actors 1
affair 1
after 2
ambition 1
ambivalence 1
america 1
american 1
an 5
and 8
approximately 4
at 1
atlantic 1
baby 1
back 1
been 1
benito 1
bosses 1
brief 1
by 2
called 1
care 1
catholicism 1
chambermaid 1
characters 1
charged 1
collected 3
conference 1
conrad 1
create 1
cynthia 3
daughter 1
decides 1
dictation 1
divorced 1
each 1
eerie 1
elderly 1
famous 1
fascism 1
for 1
form 1
from 1
fumicaro 2
gnu 1
goes 1
happened 1
has 3
hatch 1
have 1
he 1
henry 1
her 3
him 2
his 2
home 1
idea 1
in 9
irishsounding 1
is 6
italian 1
italy 1
james 1
jewish 1
joseph 1
just 1
king 1
landed 1
language 1
later 2
lear 1
lesbian 1
life 1
long 1
man 1
marry 1
meets 1
middle 1
mother 1
mussolini 1
name 1
new 5
niece 1
of 8
offbroadway 1
on 1
originally 2
out 1
over 1
ozick 3
paragraph 1
place 1
play 1
portray 1
postmiddleaged 1
pregnant 1
published 3
role 1
scheme 1
secretaries 1
stage 1
stories 3
story 6
switch 1
take 2
taken 1
takes 1
the 14
their 1
this 4
to 8
two 1
universal 1
vivian 1
wedlock 1
what 1
who 5
wife 1
with 1
women 1
words 4
works 1
written 1
yiddish 1
york 1
yorker 2
young 1
