418808
/m/0263vy
/m/0263vy
Thomas Hardy
1886
21 1
a 40
about 6
account 1
activity 1
acumen 1
addition 1
advice 1
afraid 1
after 6
again 4
aggressive 1
agreeing 1
agricultural 1
alcohol 1
all 2
allowing 1
alone 1
already 2
also 4
although 4
always 1
america 1
amiable 2
an 6
and 59
anybody 1
appearances 1
appears 2
appointment 1
are 6
arrive 1
arrives 1
as 15
ashamed 1
asked 1
asks 1
association 1
at 5
attachment 1
attempts 1
auction 1
auctioned 1
away 1
baby 1
back 1
backfires 1
bad 4
bankrupt 1
bath 1
be 10
because 1
become 1
becomes 3
been 1
before 1
befriends 1
begin 1
begun 1
behavior 1
behind 1
being 1
believe 4
believed 2
believes 1
bell 1
besotted 1
better 2
between 2
biological 1
bit 2
body 1
book 2
both 3
bring 1
bullies 1
buryd 1
business 5
but 9
buys 1
by 11
came 1
casterbridge 7
cause 1
character 1
claims 1
clearly 1
close 1
cold 1
collapses 1
come 1
comfortable 1
companion 1
companionship 1
company 1
competition 1
completely 1
conceals 1
conduct 2
conducting 1
conducts 1
confides 1
consecrated 1
consequence 1
consequences 1
convenient 1
corn 3
council 1
country 1
court 1
credit 3
creditors 1
cruel 1
cumulative 1
cutting 1
danger 1
daughter 6
day 1
daylaborer 1
dead 5
dealing 1
death 5
deathbed 1
decides 1
decisions 2
decline 2
delayed 1
deliver 1
deny 1
despite 1
details 2
deteriorates 1
devastated 1
develops 1
died 4
dies 1
disappearance 1
dishonesty 1
dismissing 1
distracted 1
does 4
donald 5
done 1
down 1
drinking 1
due 1
earn 1
edge 1
educated 2
effective 1
eighteen 1
elizabethjane 22
emergency 1
employs 1
enemy 2
energetic 1
engaged 1
engagement 1
english 1
epileptic 1
eponymous 1
ethic 1
even 1
eventually 1
everything 1
exactly 1
excuse 1
experience 1
explained 1
explicitly 1
extend 2
face 1
fact 2
factor 1
fair 2
fall 2
falls 1
false 1
family 2
far 1
farfrae 19
father 2
feeling 2
feels 1
financial 4
finds 1
first 3
five 1
fling 1
flowers 1
foolishly 1
for 13
forgive 1
former 3
fortunes 2
friend 2
friendly 1
from 8
frustrated 1
fully 2
funeral 2
furmity 2
genius 1
get 2
give 1
giving 1
goes 1
gone 2
good 1
gradually 2
grain 2
grave 1
grieve 1
ground 1
grown 2
grows 2
guineas 1
had 3
happens 1
hard 1
hardworking 1
has 8
hatred 1
have 3
having 2
hay 1
haytrusser 1
he 39
health 1
hears 1
help 1
helped 1
helps 1
henchard 58
her 22
him 20
himself 3
hiring 1
his 26
history 2
honesty 1
house 3
household 1
how 3
however 1
i 2
idea 1
if 2
illness 1
implies 1
impoverished 1
impulsive 1
in 27
income 1
increasingly 1
independent 1
indicating 1
infancy 1
informally 1
informed 1
informing 1
inherited 1
initially 2
instead 1
intelligent 1
into 2
is 44
island 1
it 4
jersey 3
job 2
jopp 3
journeyman 1
just 3
keep 1
keeps 3
kept 2
kind 1
knowledge 1
known 1
late 1
later 3
le 1
leads 1
learns 3
least 1
leaves 1
left 2
legally 1
legitimate 1
legitimize 1
lenders 1
lets 1
letter 1
letters 4
lies 1
life 1
liked 1
likes 1
line 1
liquor 1
little 2
lived 1
long 1
longer 1
looking 2
losing 1
loss 1
lost 2
love 4
lucetta 23
lucette 2
luck 1
lying 1
made 1
makes 5
man 4
many 1
marked 1
marriage 5
married 5
marries 2
marry 3
may 1
mayor 1
me 3
means 1
meantime 1
meanwhile 1
mentor 1
merchant 3
michael 1
misses 1
mistress 1
money 1
months 1
more 5
most 1
mother 1
motion 1
mourners 1
mr 1
much 1
must 1
my 5
mysterious 1
name 1
named 3
near 1
nearby 1
nerve 1
never 2
newson 8
next 1
no 8
nobody 1
not 14
now 2
nurses 1
oath 1
of 27
off 4
offered 1
offers 1
old 2
omission 1
on 6
once 2
one 1
onesided 1
only 2
opened 1
or 3
order 1
other 2
out 1
over 1
overindulges 1
owing 1
own 1
part 3
particularly 4
passing 1
past 1
pay 1
people 3
perfectly 1
personal 2
persuades 1
pick 1
picking 1
plan 1
planted 1
point 3
polite 1
poor 1
popular 1
possessions 1
pregnant 1
preserve 1
pretends 1
probably 3
problem 1
propriety 1
public 3
publicly 1
purchases 1
put 2
quarrels 1
question 2
rationalizing 1
reads 1
realize 1
realizes 3
really 1
recently 1
recover 1
regards 1
rejoin 1
relationship 6
relative 3
reluctance 1
reluctant 2
remember 1
