4386686
/m/0b_hmn
/m/0b_hmn
John Vornholt

a 8
able 1
admiral 1
after 1
among 1
an 1
and 6
are 1
at 2
attached 1
attack 1
attacked 1
be 1
been 1
body 1
bottom 1
by 5
captain 1
captains 1
cardassians 1
carry 1
conditions 1
conducive 1
contained 1
controlled 1
could 1
course 1
crash 1
crew 1
culture 1
damaged 1
day 1
depending 1
designed 1
discover 1
dock 1
does 1
dry 1
durable 1
during 1
enterprised 1
escape 1
facilities 1
falling 1
field 1
finds 1
for 1
found 1
from 3
hands 1
has 1
having 1
hideaway 1
hijacked 1
himself 1
how 1
in 1
intend 1
into 1
is 6
it 2
its 2
land 1
laren 1
leading 1
lift 1
make 1
maquis 3
meanwhile 1
metals 1
mission 1
narrow 1
nechayev 2
need 1
new 4
not 1
ocean 1
of 5
off 1
on 3
one 2
operatives 1
orchestrated 1
orders 1
out 2
over 1
overcoming 1
picard 2
planet 1
planetary 1
prevent 1
primitive 1
receives 1
recovery 1
redock 1
reluctance 1
repairs 1
ro 2
saucer 9
section 6
sentient 1
sep 1
stardrive 2
starfleet 1
surface 1
take 1
taken 1
technology 1
test 2
testing 1
that 1
the 16
then 1
this 2
to 9
under 1
which 1
while 1
who 1
whom 1
with 2
within 1
