21113559
/m/05c55mn
/m/05c55mn
Ki Longfellow
2005-03
{"/m/0mz2": "Alternate history", "/m/0hwxm": "Historical novel"}
a 21
accorded 1
actions 1
actual 1
after 1
again 1
agree 2
alexandria 2
all 6
also 5
altered 1
an 4
ananias 3
ancient 1
and 28
animal 1
antipas 1
anything 1
approve 1
are 7
around 1
as 11
at 1
await 1
awaken 1
aware 1
away 1
back 1
banishes 1
banishment 1
baptist 2
bear 1
become 1
becoming 1
begins 3
believe 1
beloved 3
between 2
beyond 1
body 1
books 3
both 3
boys 2
brand 1
brother 1
but 6
by 5
called 3
cave 1
changes 1
child 2
choice 1
close 1
comes 1
companion 1
complex 2
confused 1
conquerors 1
consciousness 1
continue 1
conviction 1
could 1
cousin 2
cross 1
cursed 1
damascus 2
daughter 2
dead 2
death 2
deceased 1
deeper 1
deeply 1
deserts 1
devoted 1
disciple 1
disguised 1
disturbed 1
divination 1
divine 2
does 1
down 1
dressed 1
during 2
dying 1
each 1
eager 1
earlier 1
ease 1
edge 1
egypt 2
egyptian 2
eleven 1
elite 1
enrage 1
enthusiasm 1
especially 1
even 2
eventually 1
exchange 1
expectations 1
experience 2
experienced 1
exposes 1
exposure 1
far 1
father 3
fathers 1
fellow 1
females 1
fervor 1
filled 1
followers 1
follows 2
fond 1
for 7
forbidden 1
forgiveness 1
form 1
france 1
freedom 1
friend 2
friends 1
from 5
front 1
galilean 1
galilee 1
gallia 1
gift 1
gifted 1
girls 2
given 1
gnosis 1
go 2
great 1
grow 1
grows 2
had 1
hands 2
has 2
have 3
having 1
he 3
heals 1
her 16
here 1
herod 1
herself 1
hidden 1
hiding 1
him 2
his 13
home 3
hotbed 1
hours 1
houseguest 3
household 1
if 1
illness 1
illusion 1
imagined 1
immediately 2
important 1
in 15
increasingly 1
indulged 1
into 3
intrigued 1
involved 1
is 15
israel 1
it 5
its 1
jerusalem 1
jew 1
jewess 1
jewish 3
jews 1
john 12
josephus 4
jude 1
judean 1
just 1
keep 1
king 2
know 1
knowing 1
knowledge 4
knows 2
later 1
law 1
lead 2
leads 1
learn 1
learned 2
learning 1
led 1
less 3
lessons 1
library 1
life 3
lifelong 1
lifethreatening 1
like 1
live 1
lived 1
lives 1
living 2
loss 1
love 1
magical 1
male 1
males 3
man 1
mangod 1
many 1
mariamne 22
mathematics 1
meet 2
meets 2
member 1
mentor 1
merchant 2
message 1
messiah 3
messianic 1
might 2
misunderstanding 1
moment 1
months 1
more 2
mysteries 1
named 2
names 1
narbonensis 1
needs 1
no 3
none 1
northwest 1
not 4
now 3
numbers 1
of 41
old 1
on 1
one 3
only 7
or 1
order 1
osiris 1
other 2
others 2
overseen 1
own 3
passion 1
personal 1
philo 1
philosopher 1
philosophy 1
poetry 1
possess 1
practice 1
priests 1
privileged 1
prophesied 1
prophesy 1
prophets 1
protection 1
quest 1
quickly 1
raised 1
recovered 1
region 1
reluctantly 1
remain 1
reputation 1
resolute 1
retreats 1
returning 1
returns 1
revelation 1
revives 1
rich 1
rift 1
rites 1
river 3
roman 1
romanbacked 1
romanoccupied 1
rome 1
room 1
sacrifice 1
salome 13
salomesimon 1
sanhedrin 1
save 1
saving 1
sea 2
secular 1
see 3
seeker 1
seems 2
sees 1
send 1
sends 1
sensing 1
servant 1
seth 3
settlement 1
seven 1
share 1
shares 1
she 6
sicarii 1
simon 2
sisters 1
slave 2
sleep 1
somehow 1
sought 1
south 1
specifically 1
spreading 1
states 1
still 1
story 2
strict 1
struggle 2
studies 1
such 2
survival 1
taken 1
takes 1
tata 3
teaches 1
tells 1
temple 1
terrible 2
that 8
the 53
their 2
them 4
then 3
there 2
they 12
thirst 1
those 1
though 1
through 2
thus 1
time 1
times 1
to 26
travel 2
true 2
tutelage 1
twelve 1
twin 1
unable 1
uncles 1
under 1
undergo 1
undergone 1
unexpected 1
unusual 1
unwittingly 1
usually 1
violent 1
voice 1
voiced 1
ward 1
was 1
well 1
what 3
when 3
where 5
which 1
who 4
whose 1
wider 1
widowed 1
wilderness 4
wilds 1
will 1
wise 1
with 10
within 1
world 1
worldly 1
would 3
writes 1
years 3
yeshua 6
yeshuas 1
young 2
zealotry 1
zealots 2
