676647
/m/03222p
/m/03222p
Terry Pratchett
2002
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
30th 1
a 13
act 1
after 2
against 1
alive 1
all 1
allowing 1
alone 1
also 1
amnesty 1
and 14
anniversary 2
are 3
arrested 1
arrests 1
arrived 1
as 6
ask 1
assassin 1
assassinated 1
assume 1
at 3
attack 1
avoids 1
awakens 1
back 1
barricade 2
barricades 1
battle 1
be 4
been 2
before 2
being 1
believes 1
between 1
bloodshed 1
body 1
born 1
breaking 1
but 2
by 8
calls 1
can 2
captain 2
carcer 8
carrying 1
caught 1
caused 1
cell 1
city 2
climaxes 1
colon 1
command 1
complete 1
control 1
conversation 1
convinces 1
criminal 1
curfew 1
day 1
dealing 1
death 3
destroyed 1
determines 1
died 2
doctor 1
dragon 1
dubbed 1
dun 1
during 1
effectively 1
encompass 1
erupting 1
event 1
fair 1
fell 1
few 1
fight 2
fighting 1
figures 1
finally 1
find 1
finds 1
first 1
for 3
forces 1
former 1
forward 1
fought 1
fred 1
from 1
frozen 1
future 2
glorious 2
grab 1
gradually 1
guard 1
guards 2
guild 2
hanged 1
haphazard 1
happened 1
has 5
have 1
havelock 1
he 16
head 1
headquarters 1
help 1
hero 1
him 2
himself 2
his 3
history 1
home 1
house 1
however 2
idea 1
identity 1
idolized 1
in 13
incarcerated 1
interrogated 1
into 1
is 13
it 2
john 2
joins 1
just 1
keel 12
keep 2
killed 1
knows 2
lawn 1
lead 1
leading 1
left 1
lessons 1
lord 4
lutze 1
magical 1
major 2
manages 2
may 1
men 1
mentor 1
met 1
mine 2
miss 1
morning 1
mossy 1
mrs 1
murder 1
murdered 1
must 1
new 1
next 1
night 1
notorious 1
novel 1
of 20
off 1
office 1
old 1
on 2
one 1
ones 1
original 1
other 1
out 1
over 1
palace 1
palm 2
paranoid 1
part 1
past 2
patrician 3
peaceful 1
people 2
place 1
placed 1
point 1
police 1
policemen 1
promising 1
proposes 1
prostitutes 1
pursuing 1
pushed 1
quarter 1
real 1
rebels 1
rebuilt 1
referring 1
reg 2
relatively 1
released 1
republic 1
rescued 1
restarts 1
returned 1
returns 1
reveals 1
revolution 2
road 2
ruler 1
safe 1
sam 1
seamstresses 2
secret 1
sees 1
send 1
sends 1
sent 2
sergeant 1
sergeantatarms 1
several 2
shattering 1
shoe 2
simpleminded 1
snapcase 1
soldiers 1
somehow 1
son 1
squad 1
squard 1
stated 1
still 1
storm 1
streets 2
student 1
subsequent 1
successfully 1
such 1
surrounding 1
taken 1
taking 1
teach 1
tells 1
temporal 1
that 10
the 52
then 1
they 1
things 1
this 1
threat 1
tie 1
time 4
timeline 2
to 19
took 1
treacle 2
trial 1
twentyfifth 1
university 1
unmentionables 3
unseen 1
until 2
up 1
version 1
vetinari 2
vimes 20
was 5
watch 1
watchmen 3
what 1
when 2
where 1
which 4
while 2
whims 1
who 4
whom 2
winder 2
with 5
wizards 1
young 3
younger 1
