21031129
/m/059_q4h
/m/059_q4h
Élisabeth Vonarburg
1992
1 1
70 1
a 4
about 1
action 1
after 1
and 3
areas 1
as 3
barren 1
been 3
before 1
being 2
betely 1
bit 1
by 4
centuries 1
cit 2
citystates 1
collapsed 1
communities 1
community 1
daughter 1
de 2
described 1
destined 1
discovers 1
documents 1
doing 1
dominated 1
drowned 1
due 1
europe 1
events 1
every 1
everything 1
evolved 1
exploring 1
federation 1
female 1
femalerun 1
follows 1
friend 1
from 1
genetic 1
grows 1
harems 1
has 1
have 3
her 5
hives 1
in 3
into 1
is 1
it 1
its 1
kingdoms 1
knew 1
la 2
large 1
le 2
life 1
lisbe 1
litale 1
local 1
loose 1
malerun 1
men 1
more 1
most 1
mother 1
mutation 1
novel 1
now 2
of 7
organized 1
outnumber 1
overthrown 1
past 1
patriarchal 1
peaceful 1
place 1
poisoned 1
postcollapse 1
predecessors 1
prevents 1
province 1
question 1
rebuilt 1
replaced 1
rising 1
ruined 1
sea 1
several 1
she 2
silence 2
sister 1
slowly 1
so 1
society 3
states 1
succeed 1
takes 1
the 12
their 1
those 1
thought 1
to 3
tula 1
tunnels 1
turn 1
tyrannical 1
up 1
warlike 1
warlord 1
wasteland 1
which 1
while 1
with 1
women 1
