26058486
/m/0b6g5sh
/m/0b6g5sh
Catherine Cate Coblentz
1949
{"/m/0dwly": "Children's literature"}
1830s 1
a 21
about 1
accepts 1
according 1
add 1
admires 1
advice 1
after 1
agrees 1
ahead 1
alas 1
all 1
allows 1
also 2
altar 1
an 1
and 46
angry 1
arunah 3
as 3
aside 1
at 2
back 1
bare 1
barely 1
barn 5
be 3
beautiful 3
beauty 1
becomes 1
been 1
begins 4
believes 1
birth 1
black 2
bleached 1
blue 15
born 1
bowl 2
brings 3
brought 1
build 2
building 2
business 1
but 10
by 8
can 1
cannot 1
carpenter 1
carpet 6
carries 1
cat 18
catch 1
cats 1
cheap 1
cheaply 1
cherry 1
church 2
cloth 1
come 2
committee 1
constantly 1
content 1
contracted 1
course 1
cream 2
create 1
creating 1
creeping 1
daily 1
dake 4
dark 1
dead 2
decorate 1
delicious 2
difficult 1
do 3
does 1
doing 1
door 1
dreams 1
drops 1
early 1
ebenezer 2
embroidered 1
embroiders 1
escapes 1
evade 1
even 2
eventually 1
every 1
everything 1
expensive 1
face 1
falls 2
family 1
farm 1
faster 1
father 1
fattened 1
favorite 1
finally 1
financial 1
find 2
finds 2
finished 1
first 3
flax 1
flowers 1
food 1
for 9
forgotten 1
formula 1
forth 1
fortune 1
friend 2
from 4
front 1
garden 2
gilroy 3
girl 3
given 1
gives 1
goes 1
good 1
gradually 2
green 1
grew 1
grows 1
guernsey 1
had 1
hairs 2
hands 1
hardest 1
has 8
have 3
he 29
hear 1
hearth 4
help 2
her 11
high 1
him 12
his 17
history 1
home 1
hopes 1
house 6
hurry 3
hyde 8
if 1
ignored 1
ignores 1
ill 1
immediately 1
importance 1
in 15
industry 1
inspired 1
inspires 1
into 6
irritated 1
is 13
it 10
items 1
its 1
job 1
john 1
keeper 1
kitten 9
kittens 3
knows 1
last 3
learn 3
legend 1
linen 1
listen 1
listens 1
lonely 2
loses 1
lost 1
lovely 1
low 1
make 4
makes 2
making 2
mansion 3
many 1
meets 3
milk 2
mind 1
money 1
more 4
most 1
mother 3
motherly 1
mouser 1
move 1
much 1
must 5
new 1
next 1
no 1
not 2
notices 1
of 16
off 3
old 2
on 5
one 5
only 2
out 3
outside 1
over 1
own 2
part 1
passes 1
peace 1
people 2
perfect 1
pewterer 2
physically 1
pine 1
plan 1
plies 1
poison 1
possessed 1
power 2
profitable 1
progress 2
promising 1
proud 1
pulls 1
pulpit 4
put 1
puts 1
quest 2
reaches 1
realizes 1
rebuffs 1
recovers 1
rediscover 1
reflection 1
relearns 1
remains 1
remembers 1
repay 1
rescued 2
resume 1
returns 2
rich 1
river 10
rooster 1
royal 1
rug 1
sacrifices 1
sad 3
sadness 1
sally 2
salmon 1
saltandpepper 1
scoops 1
searches 1
see 1
seek 1
seems 1
sees 1
sends 1
sets 2
sharing 1
she 14
shiny 1
shop 1
should 1
shouting 1
shows 1
sing 1
singing 2
sings 1
sits 1
slams 1
small 1
snatch 1
some 3
song 13
soul 1
southmayd 3
spring 1
spun 1
stagecoach 1
still 1
stop 1
stuffed 1
tail 2
talking 2
talks 1
teach 1
teaches 2
teapot 2
tearing 1
tends 1
thank 1
that 3
the 79
their 2
them 1
themselves 1
then 3
there 1
they 3
things 2
thinking 1
thinks 1
this 1
thomas 1
though 2
three 2
through 1
time 2
to 33
told 1
town 4
townspeople 1
trade 1
troubled 1
truly 1
turn 1
turns 2
two 2
ugly 1
until 1
up 5
useful 1
vermont 1
very 2
village 1
visit 1
visits 1
weaver 1
well 1
what 1
when 2
where 2
which 2
white 2
who 5
whom 1
wife 1
will 3
window 2
winter 1
with 8
women 1
woods 1
work 3
world 1
woven 1
yellow 1
young 1
zeruah 5
