4535237
/m/0c7n1j
/m/0c7n1j
Beatrix Potter
1905-10
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 17
above 1
accepts 1
accompanying 1
adequately 1
after 2
again 1
all 2
alone 1
among 1
an 1
and 35
annoyed 1
appears 1
appointed 1
are 5
arrive 1
as 2
at 3
back 5
baked 1
basket 1
be 1
beautiful 1
because 4
been 1
before 1
begins 1
believing 1
between 1
black 1
blues 1
book 1
books 1
bright 1
browns 1
but 3
buy 1
by 1
called 1
cannot 1
captions 1
carry 1
children 1
colour 4
colours 3
complications 1
concern 1
contrasting 1
convinced 1
coordination 1
coronation 1
couldnt 2
couple 1
cousin 1
created 1
crust 2
declared 1
declares 1
delight 1
detailed 1
did 1
difficulty 1
discovers 1
dish 4
display 1
distracted 1
does 2
dog 1
door 5
doorways 1
dr 2
dress 1
duchess 11
eat 3
eaten 1
eating 2
eats 1
edition 1
entirely 1
entree 1
errand 1
especially 1
even 1
ever 1
expects 1
expense 1
experience 1
explain 1
favourite 1
feel 1
find 3
finding 1
finds 1
fire 1
fireplaces 1
flowers 1
following 1
for 4
format 1
full 1
fuss 1
garden 1
give 2
gloucester 1
greedily 1
greens 1
ham 6
happened 1
has 6
have 7
hearthrug 1
her 18
herself 1
hold 1
home 3
hopes 1
hour 1
house 2
however 1
howl 1
hurries 1
i 8
ill 1
illustrate 1
illustration 1
illustrations 3
in 15
indoor 1
instead 1
intending 1
into 2
invitation 2
invite 1
invites 1
involving 1
is 7
it 7
jackdaws 1
just 1
knowing 1
lack 1
large 1
later 1
leave 1
leaves 4
left 3
like 1
lilac 1
little 2
look 1
lovely 1
lower 2
maggoty 2
magpie 1
mane 1
marmalade 1
meantime 1
minutely 1
modern 1
moment 1
more 1
most 1
mouse 5
much 2
muses 1
must 1
muted 2
neglects 1
never 1
next 2
nice 1
no 2
nor 1
not 6
occasional 1
occasionally 1
of 9
oldfashioned 1
on 3
once 1
one 1
only 1
opens 1
opportunity 1
oranges 1
original 1
other 3
out 1
outside 2
oven 7
ovens 2
own 2
page 1
party 3
passes 1
pattypan 3
perhaps 1
perplexed 1
picture 1
pictures 2
pie 15
piecrust 1
pies 2
pink 1
pinkrimmed 1
plans 1
plants 1
plots 1
popular 1
potter 7
prepared 1
productions 1
profusions 1
promises 1
pump 1
pussycat 1
put 3
puts 3
quickly 1
rather 1
reader 1
reads 1
ready 1
realises 1
really 1
reds 1
remains 1
remove 1
returns 1
ribby 16
rim 1
says 1
searches 1
see 1
seen 1
seldom 1
serve 1
served 1
sets 2
shall 2
she 20
slips 1
sneak 1
so 1
some 1
something 1
sometimes 1
splash 1
street 1
such 2
sugar 1
swallowed 1
switch 1
tabitha 1
table 1
tailor 1
takes 1
tale 2
tea 2
teapot 1
text 2
than 1
that 1
the 53
then 1
they 3
this 1
threedoor 1
tidies 1
time 2
tin 1
to 19
twitchit 1
two 1
under 1
up 2
upon 1
upper 1
uses 1
veal 6
very 2
violets 1
want 1
water 1
well 1
what 1
when 1
which 2
who 1
will 3
with 5
wonder 1
wonders 1
would 1
yellows 1
