1381420
/m/04y4fv
/m/04y4fv
Louis Cha
1957
{"/m/08322": "Wuxia"}
a 3
acknowledge 1
acquire 1
adventures 1
after 1
aid 1
although 2
and 18
another 1
are 2
army 1
around 1
arts 1
as 2
assisted 1
at 1
attention 1
become 2
beginning 1
behind 1
between 1
bond 1
bone 1
both 1
boys 1
but 3
by 5
care 1
chaofeng 1
children 1
china 1
chuji 1
civilian 1
claw 1
clever 1
conquer 1
conquering 1
conquest 1
conversely 1
countering 1
countless 1
countrymen 1
couple 1
death 2
deaths 1
destroys 1
differ 1
differences 1
disappearance 1
driven 1
due 2
duo 1
dynasty 3
each 2
either 1
encounters 2
end 1
ethnicity 1
eventually 1
evil 1
fame 1
fight 1
first 1
five 1
focuses 1
follows 1
freaks 1
friendship 1
from 2
genghis 2
glory 1
greats 1
grows 2
guo 11
halted 1
hand 2
has 1
he 5
helps 1
heroes 1
his 6
honest 1
huang 4
if 2
in 9
invaders 2
invasion 2
is 11
its 1
jiangnan 1
jin 4
jing 8
jurchen 1
jurchenruled 1
jurchens 1
kang 6
khan 2
land 2
largely 1
learner 1
learns 1
leaves 1
leaving 1
line 1
lovers 1
loyal 1
main 1
manages 1
married 1
martial 1
master 1
meanwhile 1
meet 1
meets 1
mei 1
men 1
mentored 1
military 1
mongol 3
mongolia 2
mongols 1
mu 2
native 2
nianci 2
nine 1
northern 1
novel 2
of 12
on 3
one 1
only 1
opposite 1
or 1
other 4
outwitted 1
own 1
part 2
personalities 1
pledge 1
plots 1
prince 1
protagonists 1
qiu 1
quanzhen 1
refuses 1
respective 1
retributive 1
returns 1
revolves 1
right 1
righteous 1
rong 4
same 1
scheming 1
secretly 1
sect 1
see 1
set 1
seven 1
sex 1
sexes 1
siblings 1
skills 1
slow 2
slowly 1
so 1
son 4
song 4
sons 1
story 3
strong 1
strongly 1
subsequently 1
sworn 1
taught 2
that 2
the 32
their 7
they 4
this 1
throughout 1
tiexin 3
to 9
towards 1
treacherous 1
treachery 1
trials 1
tribulations 1
turning 1
two 1
ultimately 1
unborn 2
under 1
unexpected 1
unveiled 1
unwilling 1
up 2
upbringing 1
was 2
wealth 1
white 1
who 1
will 1
with 3
witted 1
xiaotian 3
yang 9
yin 1
