19332301
/m/04n4x6b
/m/04n4x6b
Charles Sheffield
1998-02-15
{"/m/06n90": "Science Fiction"}
a 9
abandoned 1
able 1
about 2
action 1
adjustment 1
after 2
all 1
also 1
an 1
and 11
anomaly 1
are 2
around 1
as 6
assigned 2
at 3
avoid 1
awakes 1
back 1
be 2
been 2
before 1
befriended 1
blacks 1
board 1
border 1
bridge 1
bubble 1
business 1
by 2
called 1
captain 3
central 1
certain 1
charge 1
cloud 4
coming 1
command 2
commanding 1
confrontation 1
contemplating 1
cousin 1
coward 2
crew 1
current 1
cyborg 1
death 1
dereliction 1
destroy 1
directly 1
do 1
doesnt 1
dufferin 2
dust 2
duty 2
ease 1
else 2
end 1
engineering 1
engineers 1
evaluation 1
evasive 1
everyone 2
exile 1
explains 1
extensive 1
failing 1
family 1
feels 1
fighting 1
final 1
finds 2
first 1
fit 1
for 3
formation 1
forward 1
from 1
going 1
great 1
had 3
hard 1
has 2
have 1
he 8
heads 1
him 1
his 7
hooglich 1
how 1
if 2
in 3
injuries 1
intends 1
interest 1
into 2
is 12
it 3
jeff 15
jefferson 1
jinners 2
jump 1
know 2
knows 1
kopal 2
kopals 2
last 1
learns 1
leaves 1
life 1
majority 1
make 1
manor 1
medical 1
meets 1
mercy 1
messina 2
most 1
name 2
namely 1
nanotechnology 1
naval 1
navy 4
not 1
notices 1
novel 1
observation 1
of 10
officer 2
officers 1
on 2
once 1
one 1
or 2
other 1
out 1
place 1
plague 1
prestigious 1
primary 1
prior 1
protagonist 1
rebellion 1
remainder 1
residents 1
restore 1
review 1
revolves 1
runabout 1
saved 1
see 1
seemingly 1
self 1
sent 1
served 1
ship 3
ships 1
show 1
situation 1
so 2
solar 3
something 1
soon 1
sounder 1
space 4
star 1
story 1
suffer 1
system 3
take 2
taken 1
takes 1
technology 1
terrifying 1
territory 2
test 2
that 8
the 36
them 1
this 1
to 17
true 1
two 1
unfortunately 1
until 1
used 1
valiantly 1
warns 1
well 2
were 1
when 1
where 1
while 1
whole 1
will 2
with 3
