3608779
/m/09ppds
/m/09ppds
Jane Hamilton
1988
{"/m/05hgj": "Novel"}
a 17
about 1
abuse 1
adult 1
advising 1
after 6
agitated 1
alcoholism 1
all 1
almost 1
along 2
an 2
and 31
appear 1
are 1
arrested 1
as 2
asleep 1
assumption 1
at 4
attacks 1
aunt 1
away 2
awkward 1
baby 1
baked 1
basement 1
bathtub 1
be 1
beating 1
beats 1
because 3
becomes 4
being 1
believing 1
better 1
birth 2
bitter 1
book 1
boston 1
breaks 1
brother 1
but 1
by 2
can 1
child 1
childhood 1
christmas 1
cleaner 1
closer 1
coaching 1
come 1
committed 1
common 1
considered 1
continues 1
convicted 1
cornering 1
could 1
course 1
court 1
creek 1
crime 2
crushed 1
dahl 1
daisy 3
dark 1
date 1
dates 1
daughter 1
death 1
decide 1
declaration 1
declares 1
deedee 1
demanding 1
dementia 1
descended 1
diagnosed 1
died 1
disappointed 1
discontent 1
discovers 2
dismay 1
do 2
doesnt 1
drivers 1
drowned 1
drug 1
drunk 1
dry 1
dui 1
during 3
early 1
elmer 1
end 1
ends 1
envisioned 1
escaping 1
even 1
eventually 2
excuse 1
explaining 1
extremely 1
falls 1
family 2
fast 1
father 3
florida 1
for 5
forward 1
freezer 1
frequenting 1
frequently 1
friend 1
friends 1
from 2
genius 1
get 5
gets 1
girl 2
give 1
goods 1
graduation 1
grow 1
growing 1
guests 1
had 1
hands 1
happen 1
hard 1
has 7
have 1
he 7
head 1
her 24
him 4
his 6
history 1
holiday 1
honey 1
hospital 2
hot 1
house 3
how 1
if 1
illinois 1
in 7
increasingly 1
infractions 1
into 2
is 16
it 2
job 2
justin 6
kept 1
killing 1
lake 1
later 1
left 3
life 2
like 2
local 3
loose 1
losing 1
lost 1
love 1
make 1
male 1
man 1
mandated 1
many 1
marriage 3
married 1
mathematical 1
matt 3
may 10
meets 1
mental 1
met 1
midwest 1
mit 1
most 1
mother 7
move 1
moves 2
moving 1
much 2
murder 1
needs 1
neer 1
neighbors 1
night 1
nightmares 1
no 2
normal 1
not 2
nothing 1
now 1
of 11
on 3
one 2
out 1
over 2
paranoid 1
peace 1
period 1
petty 1
pining 1
pneumonia 1
police 1
pornography 1
pregnancy 1
pregnant 3
rearing 1
recover 1
refuse 1
regretting 1
relax 1
remedial 1
reputation 1
rescued 1
respect 1
revealed 2
rotten 1
ruby 19
ruth 22
schizophrenia 1
scholarship 1
season 1
second 1
see 1
sent 1
several 1
sex 1
share 1
she 10
shining 1
shop 1
short 2
shortly 1
sid 1
slow 1
small 1
so 1
some 1
son 3
sons 1
special 2
spent 1
stop 1
stops 1
strangling 1
sweets 1
taken 1
takes 2
teeth 1
telling 1
tells 1
ten 1
tensions 1
that 5
the 23
theatres 1
their 1
them 1
they 2
this 2
through 1
thus 1
time 4
to 21
toddler 1
town 1
tricks 1
troubles 1
turns 1
two 1
ultimately 2
unhappy 1
until 1
up 1
upset 1
very 2
virginity 1
wanting 1
wants 2
warmer 1
was 3
wedding 1
well 1
what 1
when 5
where 1
which 1
while 2
who 2
with 14
within 1
witted 1
women 1
wondering 1
would 1
years 1
