5776752
/m/0f40fz
/m/0f40fz
Dave Wolverton
1999-05
a 15
accepted 1
after 2
aftermath 1
against 3
ahten 8
all 2
along 1
amassed 1
an 2
and 21
approaching 1
are 3
army 1
around 2
arrive 1
arrives 1
arriving 1
arrow 1
as 5
ashes 1
assault 1
at 6
attack 1
attacked 1
attempt 2
averan 4
awakens 1
back 1
baron 2
battle 5
before 1
begin 1
begins 1
behind 1
best 1
binnesman 2
bodyguard 1
borenson 7
brain 1
break 1
brewing 1
brotherhood 1
but 2
by 4
can 3
carris 9
castle 2
castrates 1
causes 1
causing 1
chance 1
child 1
chosen 1
city 5
combined 1
continue 1
convince 1
counterattack 1
country 1
countryside 2
crowned 1
darkling 3
dawn 1
death 2
desolation 2
destroy 1
destroyed 1
discovering 1
display 1
does 1
doing 1
draken 1
drawing 1
earth 9
eats 1
encounter 1
end 3
enter 1
epic 1
equitable 2
eye 1
father 1
fealty 1
fell 1
flee 1
fleeds 1
follow 1
for 3
forces 3
forming 1
forsakes 1
forth 1
from 2
gaborn 11
gains 1
gathers 1
girl 1
glory 3
green 2
group 2
growing 1
guarding 1
has 1
haste 1
have 1
havoc 1
he 3
heads 3
hearing 1
her 3
heredon 1
him 1
his 12
host 1
if 2
ignores 1
immense 1
in 6
indhopal 1
into 1
iome 2
is 6
it 1
its 2
ivarian 1
join 1
kill 1
kills 1
king 3
kingdoms 1
knights 3
known 1
land 1
last 1
line 1
lord 1
lords 1
love 1
lover 1
lure 1
mage 1
man 1
mankind 2
marksmanship 1
meanwhile 2
memories 1
men 2
mendellas 1
messenger 1
miles 1
miraculous 1
mission 1
mounted 1
myrrima 3
mystarria 1
mystarrian 1
mysterious 1
named 1
nations 1
new 3
newfound 1
newly 1
news 1
of 29
off 1
on 3
one 2
only 1
orden 2
orwynne 1
out 1
overflowing 1
own 2
path 1
peace 1
poll 2
populace 1
power 1
powers 5
protecting 1
rages 1
raj 8
reached 1
reaches 2
realize 1
reaver 5
reavers 6
rejoin 1
responsibilities 1
rise 1
rofehavan 1
roland 2
role 1
rot 1
rumors 1
runelord 1
saffira 3
same 1
save 1
seal 2
second 1
see 2
seek 1
seeking 1
sends 1
she 3
single 1
sir 2
slain 1
slays 1
soldiers 1
spring 3
stave 1
story 1
strange 1
strips 1
struggles 1
suddenly 1
summoned 1
summoning 1
surge 1
survival 1
swear 1
swiftly 1
sylvarresta 2
that 3
the 51
their 1
then 1
they 4
this 1
through 1
time 2
to 21
towards 4
town 1
travel 2
troops 1
true 1
unborn 1
understand 1
unites 1
uprising 1
uses 2
various 1
voice 1
walled 1
walls 1
war 1
warrior 1
when 6
which 2
while 1
who 1
with 8
wolf 2
woman 2
womb 1
word 2
world 1
worm 1
wreaks 1
wylde 1
young 1
