10073372
/m/02q0xbp
/m/02q0xbp
Craig Dirgo
2003
100 1
15 1
a 4
against 1
also 1
although 1
and 5
as 1
at 1
billionaire 1
billionairemdashstanley 1
bonds 1
book 1
buddha 2
cabrillo 1
chinese 1
clear 1
complete 1
convince 1
coup 1
cuba 1
cunning 1
dalai 1
determine 1
disguised 1
dollars 1
embarks 1
files 1
find 1
first 2
flood 1
for 1
friday 1
from 3
future 1
golden 2
heap 1
hired 1
his 1
homdashand 1
in 7
is 3
it 1
its 1
juan 1
junk 1
lama 1
lives 1
macau 2
made 1
marcus 1
military 1
million 1
mission 3
missions 1
must 1
not 1
of 4
off 1
on 1
order 1
oregon 1
other 1
outsmart 1
part 1
playing 1
police 1
put 1
ratify 1
recover 1
references 1
risk 1
russians 1
rusting 1
sail 1
stateoftheart 1
statue 1
stolen 2
success 1
swindle 1
team 5
that 1
the 18
their 3
there 1
they 2
this 1
through 1
tibet 2
tide 1
to 6
un 1
use 1
vessel 1
whilst 1
will 1
wit 1
worth 1
