9649186
/m/02pn2q9
/m/02pn2q9
Lee Child
2007
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
100000 1
10012 2
1018 2
10181018 1
1030 1
103000 1
65 1
a 15
about 4
above 1
accident 1
accomplished 1
account 2
address 1
adrian 2
after 8
again 1
age 7
agree 1
air 1
aliases 2
alive 2
all 2
allen 1
alone 1
also 2
amount 2
an 6
analyzes 2
and 60
angela 3
anonymous 1
answers 2
any 1
anyone 1
apart 1
are 8
army 1
arranging 1
arrives 1
art 1
as 5
aside 1
asks 1
assassin 2
assassination 1
assistant 1
at 4
atm 1
attempt 1
automatically 2
away 3
back 1
backup 1
bad 2
bait 1
bank 1
basically 1
be 4
became 1
been 3
before 1
behind 1
being 4
berenson 4
bizarre 1
blackmailed 1
bond 1
book 1
boring 1
boss 1
box 1
brant 2
briefly 1
business 2
but 11
buyer 1
by 5
ca 1
california 1
call 1
called 3
calvin 1
capable 1
captured 1
car 5
card 1
cars 1
casino 2
caused 1
cell 1
charlie 2
child 1
children 1
clothes 1
clues 1
code 3
coming 1
committee 1
company 1
completely 1
complex 1
computer 2
conclude 3
concludes 1
confidential 1
confirmation 1
confronts 1
contacts 1
containing 1
contractor 1
contracts 1
convinces 1
couldnt 1
county 3
crack 1
curtis 1
dangerous 1
data 1
daughter 1
david 1
days 1
dead 3
death 2
decide 1
decides 1
defense 2
deposit 3
deposits 1
deputy 1
destroy 1
detailed 1
diana 2
didnt 2
director 1
directors 1
disappointed 1
discourage 1
discover 2
distrust 1
ditch 1
dixon 5
does 1
dog 1
donation 1
down 3
drifting 1
driver 2
drives 2
each 1
earlier 1
elite 1
else 1
engineer 2
even 1
eventually 1
evidence 1
exarmy 1
except 1
fail 1
failed 1
family 2
famously 1
far 1
fatal 1
feels 2
felt 1
find 7
finding 1
finds 2
firm 1
five 2
flash 2
flew 1
focuses 1
following 1
for 20
foreign 1
four 4
frances 1
franz 13
frequently 1
from 8
fully 1
funds 1
further 1
get 1
gets 1
getting 1
girlfriend 1
go 2
goes 1
got 1
greenwich 1
ground 1
group 1
gutted 1
guy 1
guys 1
had 5
handle 1
happy 1
harm 1
has 2
have 1
he 9
helicopter 3
help 4
her 4
hiding 1
him 8
himself 1
his 24
home 1
hospital 3
hotel 2
house 2
how 2
hr 1
hunted 1
if 3
in 12
information 5
injured 1
internal 1
into 1
investigation 1
investigative 1
investigators 1
involved 1
is 19
it 4
its 1
jorge 2
jurisdiction 1
just 4
karla 1
kept 1
kill 2
killed 2
kills 2
know 1
knows 1
la 4
lamaison 4
lands 1
large 1
las 4
last 1
later 2
leading 2
leads 1
leave 1
leaving 1
left 2
let 1
level 1
life 1
like 2
linked 1
list 1
lived 1
looking 1
loved 1
lowery 1
luck 1
luckier 1
lucky 1
lying 1
made 2
mail 1
maisi 1
major 2
makes 1
making 2
man 1
manager 2
manuel 1
margaret 2
married 1
math 2
mauney 7
meet 2
meets 1
members 8
memory 1
men 1
mile 1
military 4
million 1
missiles 1
missing 5
mission 1
money 3
more 2
mount 2
moved 1
multicasino 1
multiple 1
murdered 1
murders 1
name 1
named 1
neagley 11
needed 1
network 1
new 8
nine 1
no 4
not 2
notes 1
nothing 1
now 1
number 2
numbers 1
objectives 1
obsessed 1
obsession 1
obtained 1
odonnell 4
of 19
off 1
office 1
old 2
on 12
once 1
one 9
ones 1
onflicting 1
only 1
onward 1
orange 1
orozco 7
other 2
others 2
out 6
outside 1
over 2
own 1
part 1
partners 1
password 1
payment 1
people 1
perpetrators 1
person 1
peta 1
phone 2
pilot 2
place 1
plain 1
police 4
poses 1
possibility 1
postoffice 1
pressure 1
pretending 1
previously 1
problem 1
proceed 1
producing 1
prototypes 1
pushes 1
put 1
putting 1
quickly 1
radio 1
ran 1
reacher 33
reactions 1
realise 2
realizes 1
recalls 1
receives 1
recent 1
recognises 1
reconsider 1
reference 1
refreshed 1
regarding 1
remaining 1
rental 1
reply 1
replying 1
report 1
reported 1
resided 1
response 1
rest 1
returndial 1
review 1
rise 1
roaming 1
rotating 1
roughing 1
run 1
safe 1
same 2
sanchez 9
says 1
scale 1
scores 1
search 1
second 2
security 2
seeing 1
seek 1
seen 1
sender 1
sending 1
sent 1
separate 1
set 1
setting 1
severely 1
she 3
sheriff 1
sheriffs 1
shows 1
situation 1
skills 1
so 1
son 1
source 1
special 1
split 1
staff 1
staffer 1
stan 1
state 1
sticks 1
still 1
stows 1
successes 1
suitcase 1
surprised 1
suspicions 1
swan 6
swimming 1
take 2
taken 1
teaching 1
team 22
telling 1
tells 1
terrorist 4
terrorists 2
than 1
that 11
the 74
their 8
them 6
then 2
they 18
thief 1
thinks 1
thomas 1
threatened 1
three 3
thrown 1
tie 1
tied 1
time 1
title 1
to 33
together 2
told 3
tony 3
too 1
torture 1
track 1
trap 1
trashed 1
treading 1
triple 1
trust 1
twice 1
unfamiliar 1
unit 2
unlikely 1
unmarked 1
unsurprised 1
untraceable 1
up 5
upward 1
urgent 1
usb 1
use 2
uses 1
using 1
vegas 5
village 1
visit 1
visited 1
was 3
water 1
way 1
weapons 3
wearing 1
were 4
what 1
when 3
where 2
which 5
while 2
whilst 1
who 7
whoever 1
widow 1
wife 1
with 16
without 1
work 1
workplace 1
years 1
zip 1
