5874629
/m/0466pf8
/m/0466pf8
Piers Anthony
1987-10-12
{"/m/01hmnh": "Fantasy"}
a 21
abdicates 1
according 1
addictions 1
after 1
agreement 2
agrees 2
ah 1
air 1
all 4
allowed 1
allows 1
also 3
amazing 1
an 1
and 22
appear 1
approached 1
are 1
as 11
assume 1
at 1
attacks 1
attempting 2
attempts 1
aunt 2
baby 1
back 1
backwards 1
band 1
be 3
beautiful 1
become 2
been 3
beginning 1
best 1
blind 1
but 6
by 1
came 1
can 2
ceremony 1
changes 1
chaos 7
child 2
choice 1
chronos 2
circus 1
compel 1
conjuring 1
consent 2
construct 1
continue 1
continues 1
control 1
court 2
cousin 1
dance 1
daughter 1
day 1
decides 1
declares 1
defend 1
demands 1
demonstration 1
departure 1
desperate 1
destruction 2
devastation 1
discovered 1
disguise 1
do 2
does 1
drug 1
during 1
each 2
earth 2
effectively 1
effects 2
element 1
elementsfire 1
emanates 1
erase 1
eveningalso 1
everyone 1
everything 1
evil 2
evoke 1
existence 2
faced 1
fallen 1
falling 1
fate 2
fathers 1
feelings 1
fifth 2
fill 1
final 1
find 1
finds 1
for 4
forbidden 1
foretells 1
form 2
four 1
frees 1
friend 1
from 6
fulfill 1
fundamental 1
gaea 3
gift 1
girl 1
give 1
global 1
go 1
god 1
good 1
graceand 1
grand 1
greater 1
guise 1
gypsy 2
had 1
has 6
have 1
having 2
he 12
heaven 1
hell 2
help 3
helps 1
her 18
herself 2
him 4
hinted 1
his 5
hold 1
home 1
honors 1
however 1
hymn 1
i 1
if 2
imaginable 1
impossible 1
in 14
incarnation 3
incarnations 3
interference 1
is 12
it 9
its 2
itself 1
joins 2
kidnaps 1
known 2
knows 1
later 2
learn 1
learned 1
learns 1
left 1
lie 1
lies 1
llano 6
longer 1
lose 1
love 5
luna 2
made 1
magic 1
magical 2
making 1
man 2
marriage 1
marry 4
may 1
me 1
meant 1
meeting 1
meets 1
men 1
might 1
more 2
mortal 1
most 2
mother 1
much 1
music 1
must 3
natasha 5
natural 1
nature 4
needs 2
never 1
niobe 1
no 1
not 1
objects 1
of 31
off 1
office 2
on 4
one 2
only 4
or 1
orb 14
order 2
orlene 1
other 4
pacian 1
part 2
past 1
place 1
position 1
possible 1
power 1
powerful 1
pregnant 1
previous 1
primeval 1
prophecy 3
proposal 1
proposes 1
puts 1
quest 2
reality 1
realizing 1
rejects 1
results 2
return 1
returning 1
reveal 1
reveals 1
reverse 1
rock 1
role 1
roll 1
romantic 1
satan 12
says 2
scale 1
search 1
section 1
see 1
seeking 1
seems 1
selected 1
sets 1
she 17
short 1
sing 1
singing 4
sings 4
so 1
song 14
sprang 1
stop 1
such 1
supposed 1
surprising 1
takes 2
teach 2
teaching 1
tells 2
terms 1
that 18
the 60
their 3
them 1
themselves 1
then 1
there 1
they 3
thing 1
things 1
three 1
through 1
thus 2
time 4
times 1
to 28
together 1
told 1
tries 1
truth 1
turns 1
two 1
ultimate 1
understanding 1
universe 1
unmake 1
unpredictable 1
until 2
unwanted 1
up 2
upon 1
use 1
vanishes 1
variation 1
void 1
vows 1
war 1
warns 1
was 1
waterso 1
weapon 2
wedding 3
well 1
when 1
which 3
who 5
will 4
with 10
without 1
woman 2
would 3
young 3
