2748812
/m/080mlf
/m/080mlf


{"/m/0dwly": "Children's literature"}
15 1
176 2
18 1
181 1
186 1
202 1
a 9
accidents 1
advantage 1
after 2
afternoon 1
aim 1
albert 2
all 1
also 1
and 11
anna 2
any 1
anybody 1
are 5
arrest 2
arrested 1
as 2
association 1
bad 1
be 2
because 1
become 1
been 1
belonging 1
big 1
biggest 2
book 1
but 2
by 3
campaign 2
can 1
carlos 1
carts 1
cause 1
changed 1
character 1
children 1
citizens 1
city 3
comes 1
commemorate 1
companies 2
conditions 1
confesses 1
control 1
corrupt 1
criminal 1
crowded 1
cudd 1
cumberly 1
current 2
damaged 1
date 2
didnt 1
dog 1
down 1
driver 2
drivers 2
eastside 1
eddie 1
editions 2
eliminating 1
emmett 1
enacted 1
erects 1
eventually 1
everyone 1
faced 1
falsely 1
fellows 1
figured 1
fired 1
flatten 1
florist 1
flower 3
for 7
frank 3
future 1
gambling 1
general 2
get 2
gets 1
give 1
go 1
gotten 1
had 1
half 1
hammerman 1
harry 1
has 1
have 2
he 3
his 1
history 1
hold 1
hot 1
in 8
initially 1
injured 1
inspired 1
instead 1
interrupted 1
intolerable 1
is 11
it 1
jerusalem 1
joey 1
join 1
kafflis 1
king 1
known 2
large 1
larger 1
later 1
laws 1
leaders 1
leaping 1
lema 2
life 1
limit 2
livergreen 1
louie 1
lousy 1
lower 1
mack 2
make 1
mammoth 3
march 2
maxie 1
mayor 1
meeting 1
members 1
mighty 1
moe 1
moroney 1
morris 1
most 1
move 1
movie 1
moving 2
mr 1
new 3
newspapers 1
nineteen 1
number 2
object 1
of 23
offense 1
on 3
one 2
only 1
opening 1
or 1
other 1
out 3
outlook 1
over 1
owner 1
owners 1
p 3
papa 1
part 1
passed 1
pea 1
peace 1
peas 1
peashooter 2
peddler 2
peddlers 6
peretz 1
pins 1
plan 1
postmillennium 1
press 1
prison 1
problems 1
professor 1
prominent 2
published 1
pushcart 5
pushcarts 1
pushcartsthe 1
ran 1
repair 1
respectively 1
respond 1
sabotage 1
saying 1
says 1
saysthe 1
secret 1
see 1
sentence 1
sentenced 1
set 1
shooters 1
shop 1
shot 1
side 2
size 2
smaller 2
smallest 1
so 3
soon 1
standing 1
star 1
started 1
starting 1
statue 1
still 1
street 1
streets 1
struggle 1
support 1
sweet 1
take 2
tenton 1
that 8
the 63
their 2
themselves 1
then 1
theory 1
they 1
this 1
three 2
tiger 3
times 1
tires 2
to 18
together 1
traffic 5
truce 2
truck 6
trucking 4
truckrelated 1
trucks 6
up 2
using 1
vehicle 2
vendors 1
violating 1
violence 1
walter 1
wanted 1
war 1
was 1
way 3
wenda 1
when 1
where 2
with 5
would 1
york 2
you 2
