8860653
/m/027mcxd
/m/027mcxd
Eva Ibbotson

13 2
a 21
abducted 1
abducting 1
after 2
age 1
agrees 1
also 1
always 1
an 1
and 20
anyone 1
apart 1
are 3
arrange 1
arranges 1
as 7
at 1
baby 3
back 1
batty 1
be 2
beastly 1
because 1
been 1
before 2
befriends 1
begins 1
believing 1
ben 12
birth 1
boarding 1
bodyguards 2
both 1
boy 2
bring 1
brought 1
brown 1
but 2
by 6
call 1
castle 1
changes 1
child 3
choice 1
chooses 1
close 1
closed 1
come 1
comfortable 1
consists 1
convince 1
creatures 2
cross 1
cruel 1
dares 1
day 2
days 1
decides 1
delighted 1
described 1
desperate 1
dies 1
directed 1
discover 2
discovered 1
discovers 1
do 1
every 1
everything 1
exact 1
except 1
failure 1
falls 1
fancy 1
fat 1
feels 1
felt 1
fey 1
filled 1
for 11
from 1
ghosts 1
giant 1
given 2
gives 1
gone 1
group 8
grown 1
gump 8
had 1
hag 1
harpies 1
has 2
hatch 1
he 4
heartbroken 1
her 1
hides 1
hiding 1
him 7
hired 1
his 1
homesickness 1
horrified 1
hospital 1
hotel 1
house 1
household 1
however 3
if 1
ill 1
immediately 1
in 7
intended 1
into 2
invited 1
is 16
island 6
it 2
joined 1
just 1
kidnap 1
kidnapped 2
kidnapping 1
killed 1
king 3
kinship 1
knocked 1
late 1
later 1
lazy 1
leads 1
leave 1
leaves 1
live 2
london 3
magical 3
meet 2
men 1
mrs 6
mysterious 1
mysteriously 1
mythical 1
name 1
named 3
nanny 4
nasty 1
nearly 1
next 2
nine 2
ninth 1
normal 1
note 1
nurse 1
nurses 2
observe 1
odge 6
of 8
on 1
once 1
one 1
only 1
opening 1
opens 4
opposite 1
or 1
organize 1
out 1
overcome 1
paradise 1
parents 1
park 1
perform 1
performance 1
permission 1
plan 2
platform 4
police 1
prefer 1
pregnant 1
prince 8
queen 3
raised 1
raymond 9
really 2
reason 1
reasons 1
refuses 1
reopens 1
rescue 1
rescuers 1
rescues 1
rescuing 1
result 2
return 2
returns 1
reunited 1
reveals 1
same 1
save 1
school 1
see 1
send 1
sense 1
servant 1
several 1
she 4
shortly 3
show 1
slightly 1
so 1
some 2
spoiled 1
station 1
stay 1
strangers 1
successfully 1
swarm 1
take 2
taking 1
tell 1
that 9
the 53
them 2
there 1
they 5
though 1
threatens 1
three 1
time 3
to 31
told 1
too 1
took 1
tries 1
trottle 8
unimpressed 1
up 1
vanishes 1
various 1
venture 1
very 2
visit 1
was 3
well 1
when 4
where 1
who 5
will 2
wish 1
with 8
wizard 1
woman 1
would 2
years 2
young 1
