17471039
/m/0479713
/m/0479713
Sally Gardner
2005-08-04
2nd 1
a 8
adventure 1
after 1
all 4
an 2
and 9
angry 1
anonymous 1
another 1
answer 1
arrested 1
as 4
beautiful 1
begins 1
but 2
cannot 3
change 1
childhood 1
control 1
coriander 6
cupboard 1
dad 2
dangerous 1
deadly 1
death 1
deepest 1
do 1
doll 1
downhill 1
draws 1
ends 1
eventually 1
evil 1
fairy 1
faith 1
fall 1
falls 1
father 2
favorite 1
fight 2
finds 1
for 1
friend 1
from 2
girl 1
gives 1
going 1
grandfather 1
has 2
have 1
he 1
her 11
herself 1
hiding 1
him 1
holds 1
horrors 1
in 3
insists 2
into 2
is 6
it 3
knew 1
left 1
lives 1
love 1
madcoriander 1
magic 1
mother 6
must 4
named 1
nearer 1
never 1
not 1
of 6
on 1
once 1
one 1
other 1
out 1
pair 1
person 1
possible 1
power 1
prince 1
puritan 1
put 1
queen 1
question 1
return 1
rosmore 1
sacked 1
save 1
secret 1
secrets 1
servant 1
she 10
shoes 1
silver 1
sister 1
slips 1
slowly 1
soon 1
starts 2
step 4
stop 1
story 1
tells 1
that 3
the 9
them 2
there 1
thing 1
things 2
those 1
thread 1
time 1
to 6
trance 1
tycho 1
until 1
vanish 1
wait 1
well 1
when 1
which 2
whilst 1
who 1
whose 1
wife 1
with 2
world 4
yet 1
